schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,treatment,model,scenario,evaluation_pass,collection_fraction
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,3,2,1,1,14,0.07142857142857142,False,killed,2b976cef9a03d5e848d31b27674969e11201670e4adc885df3e5c61e25091aae,1,1,2,4,4,2,0,0.06437301635742188,0.19159317016601557,0.31185150146484375,,,,,,,,,,102013,202013,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,3,2,1,1,14,0.07142857142857142,False,killed,2b976cef9a03d5e848d31b27674969e11201670e4adc885df3e5c61e25091aae,1,1,2,4,4,2,0,0.06604194641113281,0.2728581428527831,0.5249977111816406,,,,,,,,,,102013,202013,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09799003601074219,0.17788410186767575,0.530242919921875,,,,,,,,,,102014,202014,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09524822235107422,0.109124183654785,0.3230571746826172,,,,,,,,,,102014,202014,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,0,400,0.0,True,step_limit,08983fe4baeb815e4897663acbd7a6f88a9ec3b1efe79c23db4550965dcc2176,1,197,1,197,3,1,0,0.10800361633300781,0.12211799621582027,0.33402442932128906,,,,,,,,,,102015,202015,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,0,400,0.0,True,step_limit,08983fe4baeb815e4897663acbd7a6f88a9ec3b1efe79c23db4550965dcc2176,1,197,1,197,3,1,0,0.10883808135986328,0.13098716735839835,0.3428459167480469,,,,,,,,,,102015,202015,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09608268737792969,0.11588335037231444,0.39196014404296875,,,,,,,,,,102016,202016,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09703636169433594,0.15168190002441337,0.4012584686279297,,,,,,,,,,102016,202016,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.09393692016601562,0.10997056961059565,0.3459453582763672,,,,,,,,,,102017,202017,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.09679794311523438,0.13594627380371088,0.4248619079589844,,,,,,,,,,102017,202017,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.10991096496582031,0.22252798080444178,0.8199214935302734,,,,,,,,,,102018,202018,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.10895729064941406,0.16236305236816384,1.0030269622802734,,,,,,,,,,102018,202018,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.09489059448242188,0.11110305786132812,0.3509521484375,,,,,,,,,,102019,202019,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.09489059448242188,0.11539459228515603,0.47206878662109375,,,,,,,,,,102019,202019,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,0,200,0,200,0,0,0,0.0997781753540039,0.2531647682189931,1.1279582977294922,,,,,,,,,,102020,202020,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,0,200,0,200,0,0,0,0.09965896606445312,0.119936466217041,0.3840923309326172,,,,,,,,,,102020,202020,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.09894371032714844,0.1103997230529783,0.38814544677734375,,,,,,,,,,102021,202021,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.0997781753540039,0.16117095947265625,0.5049705505371094,,,,,,,,,,102021,202021,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,5,51,0,50,400,0.125,True,step_limit,d421efd023e0d08b293df5a8b9c69f63b6ca36225c4a2c6620c707124c0bd6c0,50,98,49,52,100,51,0,0.05984306335449219,0.1499652862548828,0.5550384521484375,,,,,,,,,,102022,202022,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,5,51,0,50,400,0.125,True,step_limit,d421efd023e0d08b293df5a8b9c69f63b6ca36225c4a2c6620c707124c0bd6c0,50,98,49,52,100,51,0,0.06103515625,0.14283657073974607,0.3609657287597656,,,,,,,,,,102022,202022,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.09703636169433594,0.33651590347290006,1.3699531555175781,,,,,,,,,,102023,202023,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.09489059448242188,0.1304745674133298,0.5891323089599609,,,,,,,,,,102023,202023,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,1,3,1,0,390,400,0.975,True,step_limit,9a096c6b51adef97a25e6be71eb81c9bac8aff1e84ec1d5ee75342da7706a077,391,1,1,3,3,1,0,0.11110305786132812,0.14692544937133784,0.3650188446044922,,,,,,,,,,102024,202024,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,1,3,1,0,390,400,0.975,True,step_limit,9a096c6b51adef97a25e6be71eb81c9bac8aff1e84ec1d5ee75342da7706a077,391,1,1,3,3,1,0,0.11110305786132812,0.17253160476684534,0.5350112915039062,,,,,,,,,,102024,202024,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,200,0,200,0,0,0,0,0.09489059448242188,0.204527378082275,0.8258819580078125,,,,,,,,,,102025,202025,unmasked,r1,classic,primary,0.0
