schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,arm,replica,scenario,pass,collection_fraction
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,138,138,50,50,50,0,0,0,0,0,138,0.0,True,survived,2cc86aa46c8b9324a1a44053530c7c64d68bca3f2e42f69ea7781e808411628a,39,27,33,39,0,0,0,0.15604496002197266,0.44378042221069364,1.2850761413574219,,,,,,,,,,103030,203030,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,137,137,50,50,50,0,0,0,0,0,137,0.0,True,survived,1164be2661d5b339a176e19deee0d146753a5749d26e9b3a8e0cd83a39514dc8,28,39,30,40,0,0,0,0.1380443572998047,0.36716461181640625,0.7169246673583984,,,,,,,,,,103031,203031,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,132,132,50,50,50,0,0,0,0,1,132,0.007575757575757576,True,survived,ce288defd301f73b72938d7ddf3e3914225a65281befde196d239f8977da5ebf,31,40,32,29,0,0,0,0.1379251480102539,0.20281076431274409,0.3409385681152344,,,,,,,,,,103032,203032,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,147,147,50,50,50,0,0,0,0,0,147,0.0,True,survived,3b10b34f858d69abbb2d9bfd0370e5390c7ad8c2aaf717a796f72f28a9f43f8d,38,33,43,33,0,0,0,0.12326240539550781,0.18973350524902335,0.5528926849365234,,,,,,,,,,103033,203033,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,137,137,50,50,50,0,0,0,0,0,137,0.0,True,survived,2c21b7a3bcf38a98e32d53557fad26a0f64007da6963a190e8379cf04cb4a1ee,43,34,30,30,0,0,0,0.15306472778320312,0.5741119384765616,1.3899803161621094,,,,,,,,,,103034,203034,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,129,129,50,50,50,0,0,0,0,0,129,0.0,True,survived,37d5eddaf51d288a07db02dccf93c8af90987d8bed34be8d07fd9147808ca2de,31,34,23,41,0,0,0,0.1399517059326172,0.30856132507324197,0.4642009735107422,,,,,,,,,,103035,203035,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,123,123,50,50,50,0,0,0,0,0,123,0.0,True,survived,cc12a9f8c6ed73b6d367bd71f0975aaf9b6471e9e0e2323909608e4656d5743f,34,30,21,38,0,0,0,0.1480579376220703,0.5420446395874023,0.8690357208251953,,,,,,,,,,103036,203036,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,120,120,50,50,50,0,0,0,0,0,120,0.0,True,survived,ea43573ecb2ebb4719c5922d22db9f2977387d4439865206f3fc36e98b5a7446,32,32,32,24,0,0,0,0.13017654418945312,0.23727416992187492,0.5171298980712891,,,,,,,,,,103037,203037,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,138,138,50,50,50,0,0,0,0,0,138,0.0,True,survived,bc0ce5ba523265ec9b526e6ad7fde025931ff3b72353ac9087cd53a389aa48e3,38,31,38,31,0,0,0,0.2684593200683594,1.0169506072998051,2.2771358489990234,,,,,,,,,,103038,203038,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,136,136,50,50,50,0,0,0,0,0,136,0.0,True,survived,fd12924053795b700534d6f9df5d5f135be869a877e94377279b9348febb3181,38,30,28,40,0,0,0,0.3619194030761719,0.929415225982666,2.7713775634765625,,,,,,,,,,103039,203039,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,132,132,50,50,50,0,0,0,0,0,132,0.0,True,survived,b0b89d37a3122ad06f6eb4f23eaebdff61ccc4cd04249a0e642800dd33878161,35,25,35,37,0,0,0,0.18393993377685547,0.482368469238281,0.926971435546875,,,,,,,,,,103040,203040,control,r5,coin-heaven,primary,1.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,1,2,1,0,3,400,0.0075,True,step_limit,29c432eeb941cddb34927ccc8dd79e286de7e946c701dd0cb201b64d68907619,3,198,1,196,1,1,0,0.10609626770019531,0.12303590774536131,0.34999847412109375,,,,,,,,,,104001,204001,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09083747863769531,0.11587142944335938,0.5359649658203125,,,,,,,,,,104002,204002,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,43f16ff4892d62035d6f3344b683801d4cefcafe1ea6ce01871bed1a5141ebde,0,201,0,199,0,0,0,0.08797645568847656,0.15230178833007796,1.2767314910888672,,,,,,,,,,104003,204003,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,f6cf5ab55526d53a9eb3c4e3af2116aaf34571ea8a3e6fe8852cfe969be82e0e,0,200,0,200,0,0,0,0.09083747863769531,0.11711120605468746,0.3399848937988281,,,,,,,,,,104004,204004,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09322166442871094,0.10895729064941406,0.286102294921875,,,,,,,,,,104005,204005,control,r5,loot-crate,primary,0.0
1,1,_run_plan_7646b9afb8_5eb242aeb6,evaluation,400,400,0,0,50,0,3,1,0,1,400,0.0025,True,step_limit,8e174b110abcef02c2bdb3c3c17c27fe29b1f64f11f279dc854445b01d9971ba,198,1,197,1,2,1,0,0.10585784912109375,0.13686418533325195,0.3421306610107422,,,,,,,,,,104006,204006,control,r5,loot-crate,primary,0.0
