cell,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
D,r1,classic,40,0.15277777777777776,1.375,0.0,0.375,1.0,400.0,400.0,290.90909090909093,0.34375,72,973,670,1.4522388059701492,0.0,0.0994375,1468,1536,2012,2397,7791,796,0,8.64248275756836,9.891748428344727
D,r1,coin-heaven,40,0.1085,5.425,0.0,0.125,0.675,275.55,275.55,50.7926267281106,1.9687896933405915,0,0,41,0.0,0.325,0.2595717655597895,5558,823,3562,983,3,93,0,13.053047657012934,23.49376678466797
D,r1,loot-crate,40,0.10149999999999999,5.075,0.0,0.075,0.8,328.725,328.725,64.77339901477832,1.5438436382994905,291,721,394,1.8299492385786802,0.2,0.18427256825614116,1661,1815,2981,1673,4407,612,0,6.237220764160155,8.056879043579102
D,r2,classic,40,0.15833333333333333,1.425,0.0,0.3,0.925,372.85,372.85,261.64912280701753,0.3821912297170444,64,902,663,1.3604826546003017,0.075,0.02749094810245407,977,868,621,826,10871,751,0,7.517564296722411,8.862018585205078
D,r2,coin-heaven,40,0.28,14.0,0.0,0.025,0.4,182.9,182.9,13.064285714285715,7.654455986878076,0,0,100,0.0,0.6,0.27050300710770914,1651,1579,937,2623,363,163,0,12.75537014007568,16.767501831054688
D,r2,loot-crate,40,0.10700000000000001,5.35,0.0,0.1,0.65,282.875,282.875,52.873831775700936,1.8912947414935926,295,727,282,2.578014184397163,0.35,0.27989394608926205,1176,1414,1653,1882,4775,415,0,5.943059921264644,8.459806442260742
D,r3,classic,40,0.2111111111111111,1.9,0.0,0.325,0.975,390.5,390.5,205.52631578947367,0.48655569782330343,96,1396,1264,1.1044303797468353,0.025,0.2618437900128041,3955,2637,2273,3503,1406,1846,0,10.510182380676268,11.779546737670898
D,r3,coin-heaven,40,0.149,7.45,0.0,0.125,0.925,372.0,372.0,49.93288590604027,2.002688172043011,0,0,857,0.0,0.075,0.30678763440860213,2190,2527,2901,2402,2814,2046,0,11.979579925537108,13.868570327758789
D,r3,loot-crate,40,0.1165,5.825,0.0,0.075,0.775,321.4,321.4,55.17596566523605,1.812383322962041,331,762,304,2.5065789473684212,0.225,0.4350497822028625,3773,2044,2249,4149,198,443,0,6.69858455657959,8.893489837646484
D,r4,classic,40,0.19722222222222222,1.775,0.0,0.225,0.825,343.925,343.925,193.7605633802817,0.5161008940902813,93,1275,1361,0.9368111682586333,0.175,0.32754234208039545,1839,2807,1341,3542,2522,1706,0,7.722508907318102,10.574817657470703
D,r4,coin-heaven,40,0.1675,8.375,0.0,0.0,0.475,213.975,213.975,25.549253731343285,3.9140086458698446,0,0,979,0.0,0.525,0.123378899404136,1343,1767,1569,1910,41,1929,0,10.298240184783936,12.40229606628418
D,r4,loot-crate,40,0.08549999999999999,4.275,0.0,0.175,0.775,317.175,317.175,74.19298245614036,1.3478363679356822,246,621,332,1.8704819277108433,0.225,0.38756207141168125,2970,1808,2867,2440,2102,500,0,4.8343539237976065,8.00323486328125
D,r5,classic,40,0.14444444444444443,1.3,0.0,0.4,0.95,386.975,386.975,297.6730769230769,0.33593901414820077,73,1065,873,1.2199312714776633,0.05,0.16887395826603785,3921,3333,2554,3585,1148,938,0,8.616197109222412,14.056205749511719
D,r5,coin-heaven,40,0.3605,18.025,0.1,0.075,0.7,281.55,281.55,15.619972260748959,6.402060024862369,0,0,336,0.0,0.3,0.6177410761854022,585,2456,626,7023,36,536,0,11.872673034667969,14.055967330932617
D,r5,loot-crate,40,0.12,6.0,0.0,0.075,0.925,373.5,373.5,62.25,1.606425702811245,310,745,383,1.9451697127937337,0.075,0.3108433734939759,2311,3042,4446,3001,1614,526,0,6.388521194458008,9.444475173950195
frozen_task1,frozen_task1,coin-heaven,40,0.8375,41.875,0.275,0.0,1.0,325.3,325.3,7.768358208955224,12.872732861973564,0,0,0,,0.0,0.00023055640946818322,3620,2903,3624,2856,9,0,0,0.2688765525817871,0.7116794586181641
untrained,untrained,classic,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,0.0,0.625,0,0,10000,0,6000,0,0,0.48021078109741205,1.291513442993164
untrained,untrained,coin-heaven,40,0.8375,41.875,0.275,0.0,1.0,325.3,325.3,7.768358208955224,12.872732861973564,0,0,0,,0.0,0.00023055640946818322,3620,2903,3624,2856,9,0,0,0.5228757858276367,1.2176036834716797
untrained,untrained,loot-crate,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,0.0,0.675,0,0,10800,0,5200,0,0,0.49546957015991205,1.7919540405273438
