replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
r4,coin-heaven,186413,286413,1.0,0,0,50,0,0.4265308380126953,0.6010532379150391,2492003fab10a44b2b0ba92150d5ce0967099f33b9a925b03e55e8ca165f36d8,True
r4,coin-heaven,186414,286414,1.0,0,0,50,0,0.48584938049316406,0.9481906890869141,d0e6495662ce62484c820375156f6bff8e856f9d08c6389c2f319e093283bd7a,True
r4,coin-heaven,186415,286415,1.0,0,0,50,0,0.4451751708984375,0.48995018005371094,ac9642a5a6d952241d115d4f3fee0d88fd88736f29a8a2d68a387011dc1ed9ca,True
r4,coin-heaven,186416,286416,1.0,0,0,50,0,0.9244918823242178,1.1310577392578125,de23115be31bfef2fb3aa3cb90b39843c37bc7b6b8869d5d6f33c88814d32acf,True
r4,coin-heaven,186417,286417,1.0,0,0,50,0,0.34332275390625,0.7548332214355469,75ba7349e399c71b0ebdb9a9bd61c3a755f0d2393c7145ead3bb94d5995941a3,True
r4,coin-heaven,186418,286418,1.0,0,0,50,1,0.4145145416259765,0.5712509155273438,5d98248dd43be973212f597c4c8b8d4ee935872a9bfa9c1716873a4ef4f2434c,True
r4,coin-heaven,186419,286419,1.0,0,0,50,0,0.5065202713012695,0.5712509155273438,b8ba8ac2a34a7b570364652b5c306426af06dcbf05e06f7695505c2ac08f9ce1,True
r4,coin-heaven,186420,286420,1.0,0,0,50,0,0.8249878883361816,1.1479854583740234,29bbae42d88f6990597260dc33d838184f85e031d326e2bf16ab322340ced6d2,True
r4,loot-crate,186501,286501,0.04,0,0,2,0,0.8535623550415035,1.8680095672607422,042adddaa86929a29785267e6acd98045d0dbb8822f7c6517d0979d9abd7c673,True
r4,loot-crate,186502,286502,0.04,0,0,2,1,0.6503820419311519,1.8310546875,9e411d5d121298f36120ac50030bf7197e501c30377e90ca99e6d322e5ab313e,True
r4,loot-crate,186503,286503,0.7,0,0,35,11,0.940966606140135,2.705812454223633,a5988e42814c6544abcc23820fec0e8ee1becf36481cc029b655f05279f5e009,True
r4,loot-crate,186504,286504,0.32,0,0,16,7,1.2228131294250473,2.9540061950683594,af81bef8beb00e9288862a7bb42c0428ecb9941c1a89c3e2084d009ee449426f,True
r4,loot-crate,186505,286505,0.16,0,0,8,2,0.6887555122375484,2.1550655364990234,0ae91ebcec3b9a30a0866cd2d5231d2bb5da4ddd7595f647a80765c291970ba1,True
r4,loot-crate,186506,286506,0.28,0,0,14,26,1.1827230453491204,3.810882568359375,e31f9d2447931486c2c329a1972e9b3c203f537d90d92ec5ccf42257bba1b64c,True
r4,loot-crate,186507,286507,0.24,0,0,12,3,1.123201847076415,1.7631053924560547,439242011c0e9829dfa06eb34b25d6c37f2851402f7d67396f04486b7f2cd73f,True
r4,loot-crate,186508,286508,0.48,0,0,24,3,1.1243343353271482,3.1490325927734375,f6f4fda402e893dd0f606bf5e43c0d4016516ed01cb5cd0903d3e48afffa2b3e,True
r4,loot-crate,186509,286509,0.02,0,0,1,0,0.5556464195251459,1.0488033294677734,386dac4212f48ea49eebde1219f635409439fb6b61e126bf666c88065ff6ee84,True
r4,loot-crate,186510,286510,0.52,0,0,26,27,0.650358200073242,1.7099380493164062,00e37af89704538cf4811aee292dd4ea082be5a52b4c751dc8c8f41e19246caf,True
r4,loot-crate,186511,286511,0.34,0,1,17,5,0.7682085037231444,1.1730194091796875,03852e2eb83fe71844f9da5e8b94c946a690e0f0ed06718f8e3eda98f0a57ad8,True
r4,loot-crate,186512,286512,0.26,0,0,13,3,0.9695529937744137,2.0132064819335938,5b903c7a17aac03f7ebf8400916a0aa1f93b1ff75129c557c402f53bf1339791,True
r4,loot-crate,186513,286513,0.54,0,0,27,7,0.6205201148986813,1.116037368774414,0a513ec72629ae2baaf2e5d25381262419992a18b01aa5cd0bdb4a588655ec3a,True
r4,loot-crate,186514,286514,0.14,0,0,7,3,1.2735962867736812,2.062082290649414,8741d2c397854e51314ba0fe6717ad5c4a85fd2a457b2ff627b1848b19fa8c82,True
r4,loot-crate,186515,286515,0.14,0,0,7,1,1.1865496635437005,2.6979446411132812,b7a974908b028e01ae40ee76d3b9eaac17a25dd777e1dec1164a65e125f5cb7d,True
r4,loot-crate,186516,286516,0.6,0,0,30,18,1.5691280364990234,3.7250518798828125,430a5052cca9576910316c9f57e87d6e308f85ce4430c3a06fb60ee039602d6c,True
r4,loot-crate,186517,286517,0.18,0,1,9,5,1.395130157470702,4.171133041381836,939be4467680669caf9a5ac5c215bc34e329257335a91d7cc6491e7787b339e1,True
r4,loot-crate,186518,286518,0.46,0,0,23,17,1.8262386322021473,3.008127212524414,ff01e1f96b7dd2d3ed3d28c9022b2ac8e1e267b3665dc8e8cd0ecb224cffa4af,True
r4,loot-crate,186519,286519,0.3,0,0,15,7,1.2511849403381317,2.1371841430664062,2c5bceb3b60798847a7b8d916c46ae5df2fe654209b835d27c6524d63a008a76,True
r4,loot-crate,186520,286520,0.08,0,1,4,1,1.626205444335936,3.3838748931884766,a09c928ed581c73f4526f1c25f1f35dbe220ec66e2cd7b24377b54f47a020357,True
r5,peaceful,186101,286101,0.1111111111111111,0,0,1,0,0.3249883651733396,0.4780292510986328,742f3d5263d4a6161405dcda3ba69e10f25839a4536c7bce3af6135b7788d7aa,True
r5,peaceful,186102,286102,0.0,0,0,0,6,0.5452632904052732,0.7660388946533203,7dfa80bdb8cad1d4d2ddf7777c18cda125a649af86fef3a7e82d727e39d64dcd,True
r5,peaceful,186103,286103,0.0,0,0,0,0,0.32379627227783203,0.48422813415527344,bbef4094f0eeba59b5cb677b3ece1cb1f06d79ab3f4a6a2f58ad5dc97268da26,True
r5,peaceful,186104,286104,0.0,0,0,0,1,0.3548741340637206,0.6747245788574219,9a1a1cc1d5d5b31264980b6bbdf9f144e2d3ce1f05564af369909422c8d4708d,True
r5,peaceful,186105,286105,0.0,0,0,0,3,0.4201292991638183,0.6148815155029297,f90ce64379ed129c0499267e8cefe000964a9561d63a3aca2e50e87a097d756b,True
r5,peaceful,186106,286106,0.1111111111111111,0,0,1,5,0.5557775497436517,0.8947849273681641,902784a21d1decda0f35ba4bd9e88c3b5ab2ebb2bfed6c40ae3a0de612689fa4,True
r5,peaceful,186107,286107,0.1111111111111111,0,0,1,3,0.3739356994628905,0.5347728729248047,43b118f0a9827fb1a15ded5dc5683fab181e9cb925471138c73744beceaff7a1,True
r5,peaceful,186108,286108,0.1111111111111111,0,0,1,0,0.33220052719116205,0.4978179931640625,742f3d5263d4a6161405dcda3ba69e10f25839a4536c7bce3af6135b7788d7aa,True
r5,peaceful,186109,286109,0.3333333333333333,0,0,3,7,0.5610942840576171,0.8280277252197266,acd8fb8203d8c0ff0b0e4610e5094f32760cf6fde8c4622b03ce59f164728e40,True
r5,peaceful,186110,286110,0.2222222222222222,0,0,2,9,0.5152702331542969,0.7429122924804688,8bcae8ec142dfe59aa339297156e25d699fef77940fde5d1ab6c8b546ecf9e78,True
r5,peaceful,186111,286111,0.0,0,0,0,4,0.3948330879211426,0.6389617919921875,1fde5eeb2f4bcbdd966a56e32de11b943962df76dc32dcb20a03349d2c004d9a,True
r5,peaceful,186112,286112,0.2222222222222222,0,0,2,5,0.35382509231567383,0.5719661712646484,b32dc4e7a5e49155fa1ab8dde98a177c62d980e3b503485460fe0951a9625100,True
r5,peaceful,186113,286113,0.6666666666666666,0,0,6,5,0.6271839141845702,1.0323524475097656,a341051da539943b506b7785e936e26d3444a91935b52797c2607189269ad422,True
r5,peaceful,186114,286114,0.4444444444444444,0,0,4,2,0.47800540924072243,0.5979537963867188,3a7b18ba366418a856b8cc847ee2faec73e923ce2f01ccb02b3349c627958321,True
r5,peaceful,186115,286115,0.5555555555555556,0,0,5,6,0.6195068359374997,1.4629364013671875,d7a4334830275eb78257de1f86f19dea49265de5be6b14f62b1fd7b52362a9f2,True
r5,peaceful,186116,286116,1.0,1,0,14,0,0.5203485488891598,1.168966293334961,5d9777c4f66d5168a7e48ab3d0c6f1eda50f08ee3f5d3ed663818d156a88efd6,False
r5,peaceful,186117,286117,0.2222222222222222,0,0,2,2,0.4010677337646484,0.5979537963867188,19e1618d4e13f46501832a50706e6ef86f27cf9f99ac916a864c022b49e18071,True
r5,peaceful,186118,286118,0.2222222222222222,0,0,2,18,0.40770769119262695,0.5300045013427734,b6014d67eb49c25e6f0395ba5a0303043e69d32b6d4f1f8b2c4aee0446a9753a,True
r5,peaceful,186119,286119,0.0,0,0,0,0,0.3217458724975585,0.61798095703125,f24670f4769a2ba8388c33b9890a75fddeca3f2c6c77c55de5acc25d6324c91f,True
r5,peaceful,186120,286120,0.1111111111111111,0,0,1,6,0.5692720413208004,0.8409023284912109,ebde834b2bb238e4fb3e842d5881eb22d0b7c12494a3fc43ca18c4718644b16b,True
r5,coincollector,186201,286201,0.5555555555555556,0,0,5,20,1.4337778091430653,2.0110607147216797,e3fab8a3148466df1182ce41d3f92887554eb63caa9f1a65bd0a26ae97c66a5c,False
r5,coincollector,186202,286202,0.4444444444444444,0,0,4,12,1.1284112930297847,2.7251243591308594,ccd33212f1ca37b534019d738e2ef5351b7ded25034d2a8842f1c7a54137ce69,False
r5,coincollector,186203,286203,0.0,0,1,0,1,0.6836891174316406,0.743865966796875,8089fcd2c69ee3e5deff3fad0c34bcbfef56da27e8ac2d1aba340bd045651607,True
r5,coincollector,186204,286204,0.0,0,0,0,17,1.2594819068908687,1.8470287322998047,8a38e9fc39c2796ce8e01cadbf178ac95193c89f58729cddab642d059613cbab,False
r5,coincollector,186205,286205,0.2222222222222222,0,0,2,4,1.302349567413329,2.7008056640625,06948c178f765e95d598a845c39708a48d4fa461c9075a27411a34b05b669d03,False
r5,coincollector,186206,286206,0.3333333333333333,0,0,3,11,0.9417891502380371,3.020048141479492,a912c1114625bf90663471a7ba7b6dbcfbc2d931dd1bb31f72bd6387447f8d95,False
r5,coincollector,186207,286207,0.2222222222222222,0,0,2,14,1.8715858459472656,4.5909881591796875,0fdbf51e3c556624837bd5a0f5c4675c28778c3f819014c9d5042c299cd2f62a,False
r5,coincollector,186208,286208,0.0,0,0,0,4,1.6625642776489253,3.3931732177734375,d7ef9631b9491b7338268fcbfdf660c86872de0f60ace522a7e64e6e4bd71895,False
r5,coincollector,186209,286209,0.1111111111111111,0,1,1,2,0.9155511856079102,1.0161399841308594,45227febebddd8decd1867f2f77ceefcc55a281b95aa67d7838fc16260816af4,False
r5,coincollector,186210,286210,0.6666666666666666,0,0,6,20,4.37175035476684,8.069992065429688,2d30474c0ed7df8386d47d4eb36a37ebe4d39fa8434e39c65a134994329214d3,False
r5,coincollector,186211,286211,0.2222222222222222,0,1,2,5,1.7510175704956052,2.523183822631836,9ad58c00ba47a1dc820a17a68cb0868bbb5ce469f13e811571f096cc48eae1e9,False
