model,pass,world_seed,initially_available_coins,evaluation_git_commit,evaluation_duration_seconds,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
run-01,primary,31026,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.545579700003145,1,1,DagobertDuckDQN,evaluation,400,400,28,28,348,400,0.87,True,step_limit,cabbc501490b68ee2a5717fd772bae3b461df86750f923413a29264b1f8dcdfa,3,11,365,20,1,0,0,0.3581047058105469,0.5149245262145993,1.1563301086425781,,,,,,,,,
run-01,primary,31027,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.486091500002658,1,1,DagobertDuckDQN,evaluation,400,400,33,33,326,400,0.815,True,step_limit,fc35821ae3b54498317261dcd2d257f40425816d766ed56ac016f3b1efc2b118,13,15,347,24,1,0,0,0.2732276916503906,0.37348270416259755,1.0771751403808594,,,,,,,,,
run-01,primary,31028,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,5.263956500013592,1,1,DagobertDuckDQN,evaluation,400,400,1,1,399,400,0.9975,True,step_limit,d23d6a7d00d5cb816c05d255a5fd7aa3e5f54b0b655eb1a0282a10f75c353864,0,0,399,1,0,0,0,0.3020763397216797,0.43584108352661133,1.0688304901123047,,,,,,,,,
run-01,primary,31029,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.201691299997037,1,1,DagobertDuckDQN,evaluation,145,145,50,50,0,145,0.0,True,survived,d71a918ef776946f8d82c14176fd2e05ff0c664e29996d3e31985e192e59acdf,34,44,35,32,0,0,0,0.2715587615966797,0.3574371337890624,0.9412765502929688,,,,,,,,,
run-01,primary,31030,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.6066438000125345,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,982fe94d44feda40fe1277aed4d68d0c394980dd18733195d0adb013845a1d59,37,28,34,32,0,0,0,0.32973289489746094,0.5433559417724609,1.0993480682373047,,,,,,,,,
run-01,primary,31031,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.9361568999884184,1,1,DagobertDuckDQN,evaluation,125,125,50,50,0,125,0.0,True,survived,8a469088ff7753b4648317a52218aea32e873526f887ccd9e1fa6a5df763c728,22,35,36,32,0,0,0,0.3018379211425781,0.5313873291015624,1.0309219360351562,,,,,,,,,
run-01,primary,31032,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.553524799994193,1,1,DagobertDuckDQN,evaluation,400,400,30,30,0,400,0.0,True,step_limit,6f524dafe25d91981b2c626199ac2d3e277d168a090ce05a9a83f35ca55f1e31,182,5,194,19,0,0,0,0.2894401550292969,0.41824579238891574,1.1205673217773438,,,,,,,,,
run-01,primary,31033,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.325390000012703,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,c374557fc85cefb2e61df73b53138e84ab9986f960829beae49dcc8d9a55c836,35,39,31,26,0,0,0,0.3006458282470703,0.44929981231689453,0.9603500366210938,,,,,,,,,
run-01,primary,31034,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.809862299996894,1,1,DagobertDuckDQN,evaluation,400,400,47,47,301,400,0.7525,True,step_limit,344502750790b001f07cb74377458053bd286b5d04326459a16908b88137a6e0,18,31,331,20,0,0,0,0.3502368927001953,0.7267951965332028,1.8172264099121094,,,,,,,,,
run-01,primary,31035,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.240621400007512,1,1,DagobertDuckDQN,evaluation,143,143,50,50,0,143,0.0,True,survived,d379c03d3fa697e88abcf82f8ef6d0e8163b5d38c43ce620f572c3f7cb2a68da,35,43,35,30,0,0,0,0.2911090850830078,0.4455804824829102,1.028299331665039,,,,,,,,,
run-01,primary,31036,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.2213522999954876,1,1,DagobertDuckDQN,evaluation,400,400,48,48,285,400,0.7125,True,step_limit,0077e1d9f2d708aec45e41774d7b8d99d41b77a56b1acef965a0dcb1e1788067,22,33,321,24,0,0,0,0.25522708892822266,0.3069043159484863,0.9815692901611328,,,,,,,,,
run-01,primary,31037,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.041590600012569,1,1,DagobertDuckDQN,evaluation,134,134,50,50,1,134,0.007462686567164179,True,survived,16a34f1fb7429ff510c4587714f7a12c1b93855020598b590ada51c91ec25697,37,23,38,36,0,0,0,0.2689361572265625,0.3284811973571776,0.9527206420898438,,,,,,,,,
run-01,primary,31038,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.320163099997444,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,8a28d756bebd2c804359c03a3fb229149c1fc209f8f065723600ce5f5cbf8e2f,39,40,25,27,0,0,0,0.28634071350097656,0.4248619079589844,1.1372566223144531,,,,,,,,,
run-01,primary,31039,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.585187099990435,1,1,DagobertDuckDQN,evaluation,400,400,32,32,329,400,0.8225,True,step_limit,2c2d60eaae97992433e09f1a585bcf8db53bb83ad97ae765b993b4babe54daf7,11,19,352,18,0,0,0,0.2624988555908203,0.33469200134277327,0.9756088256835938,,,,,,,,,
run-01,primary,31040,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.6819200000027195,1,1,DagobertDuckDQN,evaluation,400,400,38,38,315,400,0.7875,True,step_limit,b86140bc23fe9c76c3162822e3f173978619b72014a78c4a23fa9b0158231376,19,14,340,27,0,0,0,0.286102294921875,0.399637222290039,0.9603500366210938,,,,,,,,,
run-01,repeat,31001,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.774489500006894,1,1,DagobertDuckDQN,evaluation,400,400,42,42,0,400,0.0,True,step_limit,4cf47b67f6ee1532bb646c2bfe388bdad235ae3864c29a5d55ccc7d6414d5b3e,175,24,167,34,0,0,0,0.34677982330322266,0.7043004035949703,1.3892650604248047,,,,,,,,,
run-01,repeat,31002,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.276840499980608,1,1,DagobertDuckDQN,evaluation,400,400,43,43,0,400,0.0,True,step_limit,5c71f33142fde9ecd744f9e9f712e70e6ad60b65ffde112e4eadac8c3690a616,178,21,168,33,0,0,0,0.2785921096801758,0.38900375366210926,0.95367431640625,,,,,,,,,
run-01,repeat,31003,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.046412600000622,1,1,DagobertDuckDQN,evaluation,133,133,50,50,1,133,0.007518796992481203,True,survived,f2bcb83c44c3078dd81c2136006f59a2997779d9762203baa6c9c7df630e036b,30,30,43,30,0,0,0,0.2682209014892578,0.3790855407714843,0.9105205535888672,,,,,,,,,
run-01,repeat,31004,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.1670595000032336,1,1,DagobertDuckDQN,evaluation,131,131,50,50,1,131,0.007633587786259542,True,survived,8fcec002a1e136879cd3db9f1e0f3b438627abece9ea5c4841c346dd166bc6be,28,32,27,44,0,0,0,0.2808570861816406,0.4438161849975586,1.2929439544677734,,,,,,,,,
run-01,repeat,31005,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,5.1875777000095695,1,1,DagobertDuckDQN,evaluation,400,400,22,22,360,400,0.9,True,step_limit,088b1c105e2e0b5073d01df05c2686e5cbae00ab196d98d411bca16f98df03c6,8,5,368,19,0,0,0,0.2727508544921875,0.43822526931762695,55.39417266845703,,,,,,,,,
run-01,repeat,31006,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,6.312712999992073,1,1,DagobertDuckDQN,evaluation,400,400,46,46,295,400,0.7375,True,step_limit,b966eb9e2bdc9762c1991d5444d03a0380297422bfad3607edea80b2f1b765da,20,24,321,35,0,0,0,0.26047229766845703,0.3365159034729003,0.9450912475585938,,,,,,,,,
run-01,repeat,31007,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.051551899989136,1,1,DagobertDuckDQN,evaluation,111,111,50,50,0,111,0.0,True,survived,b4766d90579721393d7635bfb098ee36fa413f7463290476a7c6d412d43b3d50,32,33,27,19,0,0,0,0.27251243591308594,0.3657341003417969,0.9028911590576172,,,,,,,,,
run-01,repeat,31008,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.896046300011221,1,1,DagobertDuckDQN,evaluation,400,400,21,21,355,400,0.8875,True,step_limit,eaeb5deb18564c12d7b29186a419de896a82d330e4ebdb51b5984f59a3fa456c,4,14,371,11,0,0,0,0.2924203872680664,0.4277348518371582,1.0051727294921875,,,,,,,,,
run-01,repeat,31009,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.711242699995637,1,1,DagobertDuckDQN,evaluation,400,400,7,7,382,400,0.955,True,step_limit,fa77a24078019b94f3305aea2fb2174bbdd39544dcac8d8fc54797546b37b679,0,2,396,2,0,0,0,0.3104209899902344,0.4200935363769527,0.9617805480957031,,,,,,,,,
run-01,repeat,31010,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.642364400002407,1,1,DagobertDuckDQN,evaluation,400,400,33,33,336,400,0.84,True,step_limit,cb83c8e47f9c22512b0bf833e34059ae65b7e9a8e02a91ee3008da5d65aeaa7c,12,14,354,19,1,0,0,0.278472900390625,0.35935640335083,0.9820461273193359,,,,,,,,,
