schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,total_state_visits,evaluation_decisions,evaluation_unseen_decisions,mean_visits_per_state,singleton_state_fraction,evaluation_unseen_state_rate,cell,model,scenario,world_seed,agent_seed,suite,collection_fraction
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,169,169,3,3,9,4,43,22,,1,6,169,0.03550295857988166,False,killed,d3da86f02fd125f0d08558da72d690ba14eda82e9cafbdd43e36b4f3828a6dd8,31,35,32,27,20,24,0,1.6131401062011719,3.6034584045410156,5.082607269287109,,,,,,,,,,,,,,,,A,r1,classic,324023,424023,classic-primary,0.3333333333333333
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,6,6,9,7,93,38,,0,22,400,0.055,True,step_limit,fa83ca4b55f22b710e020e19ac87d55e70793ca71fa4bd6b68ef806a12b1cb92,56,55,46,45,150,48,0,2.0890235900878906,5.4970383644103995,8.919000625610352,,,,,,,,,,,,,,,,A,r1,classic,324024,424024,classic-primary,0.6666666666666666
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,4,4,9,4,30,10,,0,6,400,0.015,True,step_limit,f0567d2e69e09616c6eabcba71f41f75c02f26898781fd6a6e6ab4e3edaae51d,10,20,14,14,330,12,0,4.144072532653809,4.773890972137451,7.282257080078125,,,,,,,,,,,,,,,,A,r1,classic,324025,424025,classic-primary,0.4444444444444444
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,3,3,9,4,74,43,,0,12,400,0.03,True,step_limit,605fe4ed02e69c48a85bb5a12c0467a50e059a7b3d2f480589daa2a034694ed3,74,70,60,56,90,50,0,1.7902851104736328,4.108405113220214,7.147073745727539,,,,,,,,,,,,,,,,A,r1,classic,324026,424026,classic-primary,0.3333333333333333
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,16,7,,0,1,400,0.0025,True,step_limit,153678031e94d779bdd797ae57263d44807a79a9a3bc8b0cd48998dce9061251,10,4,9,8,362,7,0,2.705216407775879,3.1867027282714835,7.909059524536133,,,,,,,,,,,,,,,,A,r1,classic,324027,424027,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,4,4,9,4,79,42,,0,19,400,0.0475,True,step_limit,cfc4d8cdae26dc154b9229fee7bb334ced8ac0c0b26cfe511ce1d91fe4537edf,59,101,54,94,39,53,0,2.159714698791504,4.209923744201658,5.599021911621094,,,,,,,,,,,,,,,,A,r1,classic,324028,424028,classic-primary,0.4444444444444444
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,2,42,19,,0,2,400,0.005,True,step_limit,e39d431aa7de80d974279fdaec4d7e73b80740aff1cefd68dc38a940794d7d65,34,146,36,147,17,20,0,2.584695816040039,3.5384774208068825,9.047985076904297,,,,,,,,,,,,,,,,A,r1,classic,324029,424029,classic-primary,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,6,6,9,6,42,52,,0,20,400,0.05,True,step_limit,feecba09098256ba2d7165a9e987b43037c17d4ba826e64d6960c8b43fee86bb,78,68,80,69,34,71,0,1.9252300262451172,3.8729190826416007,7.797479629516602,,,,,,,,,,,,,,,,A,r1,classic,324030,424030,classic-primary,0.6666666666666666
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,1,1,9,1,24,12,,0,7,400,0.0175,True,step_limit,d19310552b7598b8cf63ff2d8f6175bcc49c471ea33c42558deb11e926f52312,14,172,22,170,8,14,0,2.2748708724975586,2.854955196380615,5.580425262451172,,,,,,,,,,,,,,,,A,r1,classic,324031,424031,classic-primary,0.1111111111111111
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,1,1,9,1,24,15,,0,5,400,0.0125,True,step_limit,32fa9e43976c1f99fa93c73034e2bd10e43f564373813c5c754f05887b3a27ff,31,13,29,15,292,20,0,3.169417381286621,3.727781772613525,15.538692474365234,,,,,,,,,,,,,,,,A,r1,classic,324032,424032,classic-primary,0.1111111111111111
