cell,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
B,r1,classic,40,0.18333333333333332,1.65,0.0,0.3,0.95,381.05,381.05,230.93939393939394,0.433014040152211,73,945,1652,0.5720338983050848,0.05,0.01830468442461619,1641,1641,1690,1600,6795,1875,0,4.8545002937316895,9.15074348449707
B,r1,coin-heaven,40,0.024,1.2,0.0,0.375,1.0,400.0,400.0,333.3333333333333,0.3,0,0,0,,0.0,0.0748125,998,24,2220,13,12745,0,0,4.684877395629883,11.70492172241211
B,r1,loot-crate,40,0.123,6.15,0.0,0.1,0.725,300.575,300.575,48.8739837398374,2.0460783498294934,319,751,535,1.4037383177570093,0.275,0.10230391749147467,2461,813,1435,812,5803,699,0,4.634535312652587,11.885881423950195
B,r2,classic,40,0.19444444444444445,1.75,0.0,0.375,0.975,394.55,394.55,225.45714285714286,0.4435432771511849,91,1197,746,1.6045576407506703,0.025,0.21359776961094917,5801,1833,4313,1492,1511,832,0,5.560398101806641,17.162799835205078
B,r2,coin-heaven,40,0.0655,3.275,0.0,0.35,1.0,400.0,400.0,122.13740458015268,0.81875,0,0,127,0.0,0.0,0.60475,204,142,8292,1409,5559,394,0,6.500351428985596,17.911195755004883
B,r2,loot-crate,40,0.078,3.9,0.0,0.15,0.85,347.8,347.8,89.17948717948718,1.1213341000575043,227,575,231,2.4891774891774894,0.15,0.6187464059804485,5002,1650,5007,1682,265,306,0,3.8087368011474605,17.24696159362793
B,r3,classic,40,0.15555555555555556,1.4,0.0,0.375,0.925,374.525,374.525,267.51785714285717,0.37380682197450105,60,903,1866,0.48392282958199356,0.075,0.15746612375675856,1909,2743,1920,2728,1576,4105,0,4.962944984436033,15.340089797973633
B,r3,coin-heaven,40,0.022,1.1,0.0,0.375,1.0,400.0,400.0,363.6363636363636,0.275,0,0,0,,0.0,0.87075,643,411,14539,407,0,0,0,4.149425029754635,14.124870300292969
B,r3,loot-crate,40,0.22549999999999998,11.275,0.0,0.05,0.725,318.725,318.725,28.26829268292683,3.537532355478861,520,1258,997,1.2617853560682046,0.275,0.30433759510549846,2299,1566,2521,3669,621,2073,0,4.589664936065674,20.196914672851562
B,r4,classic,40,0.25,2.25,0.0,0.3,0.9,365.725,365.725,162.54444444444445,0.6152163510834644,107,1435,959,1.4963503649635037,0.1,0.06261535306582815,1167,3789,1336,4457,2675,1205,0,5.012071132659911,10.460853576660156
B,r4,coin-heaven,40,0.0465,2.325,0.0,0.25,1.0,400.0,400.0,172.04301075268816,0.58125,0,0,0,,0.0,0.319,2191,1833,1815,1010,9151,0,0,7.230210304260254,20.79463005065918
B,r4,loot-crate,40,0.1345,6.725,0.0,0.05,0.75,317.425,317.425,47.20074349442379,2.118610695439868,375,917,535,1.714018691588785,0.25,0.24068677640387492,1417,1973,2159,3090,3157,901,0,3.9722323417663574,10.655879974365234
B,r5,classic,40,0.11388888888888889,1.025,0.0,0.55,0.925,374.275,374.275,365.1463414634146,0.27386280141607106,67,905,534,1.6947565543071161,0.075,0.03413265646917374,721,426,688,812,11692,632,0,3.6276459693908687,14.172792434692383
B,r5,coin-heaven,40,0.0765,3.825,0.0,0.1,1.0,400.0,400.0,104.57516339869281,0.95625,0,0,0,,0.0,0.6141875,9363,94,1397,2051,3095,0,0,7.379901409149169,15.875816345214844
B,r5,loot-crate,40,0.043,2.15,0.0,0.425,0.95,380.975,380.975,177.19767441860466,0.5643414922238992,148,369,146,2.5273972602739727,0.05,0.17803005446551612,1275,313,1343,1519,10566,223,0,3.1508922576904284,10.614156723022461
