treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
candidate,r2,coin-heaven,224408,324408,1.0,0,0,50,0,1.0150909423828116,1.9299983978271484,9cfb42ac42c4cf8a815820ec2a99b8c84f49954bc54df5bb74c27f92bc900c9a,True
candidate,r2,coin-heaven,224409,324409,1.0,0,0,50,0,0.8291959762573229,2.613067626953125,891cddb783b1c07249601581700d1fadd87edcf0201852b9f0b4bb69b3743d40,True
candidate,r2,coin-heaven,224410,324410,1.0,0,0,50,0,0.7201194763183592,1.4109611511230469,28557865f6bc5fd7e3a93f4de99c7e06775957527a020eb51513f71f2d19ea8f,True
candidate,r2,coin-heaven,224411,324411,1.0,0,0,50,0,0.858092308044433,1.4190673828125,4e7b73e1060f5b07ece88de854edcc46d6e55cf5b0784100d7d1dfcff378625b,True
candidate,r2,coin-heaven,224412,324412,1.0,0,0,50,0,0.5286455154418943,1.0297298431396484,0f933a69d0a97ab67462e9a309e588a627d9f37b9fe416b3cf931d7dbf279178,True
candidate,r2,coin-heaven,224413,324413,1.0,0,0,50,0,0.7075309753417968,1.6601085662841797,25ef0d2238373ad3fadbe2bf0e55c5d5c48f2f626251506debd99bcccdaf98bc,True
candidate,r2,coin-heaven,224414,324414,1.0,0,0,50,0,0.6550312042236328,1.7650127410888672,eb47993aca868a8708483fa09cb18a88ac0807c9aba7497fc3d16178bb9005f2,True
candidate,r2,coin-heaven,224415,324415,1.0,0,0,50,0,0.4018306732177734,0.6589889526367188,1bfbc11b9845d88d2f83309f33e8d4165b3b651dfb26737237de13906a495220,True
candidate,r2,coin-heaven,224416,324416,1.0,0,0,50,0,0.37093162536621044,0.5500316619873047,f7d926803ff0b0e49244729778c7e74d7905183c1dd1dd2950bca18e0bd3fa5e,True
candidate,r2,coin-heaven,224417,324417,1.0,0,0,50,0,0.6260871887207031,0.9069442749023438,e0e841f5255d37540f85f0d93e14175d85ff9b05e1f04fb66dd50b15ab84e297,True
candidate,r2,coin-heaven,224418,324418,1.0,0,0,50,0,0.2959728240966797,0.453948974609375,3b1771362b3b595dca4d0f68a355c46af26a9f530bf70aa501902aaef3c90b3c,True
candidate,r2,coin-heaven,224419,324419,1.0,0,0,50,0,0.2158045768737793,0.30493736267089844,d817b8b94864d719ce35101dca6b01deeb5b024bd1bd2f289f15a14f025ee0c4,True
candidate,r2,coin-heaven,224420,324420,1.0,0,0,50,0,0.539374351501464,1.4121532440185547,7938357f9dc8a162bb4bb756a755de6ea4bc280bdfe59de596cb6e021e387258,True
candidate,r2,loot-crate,224501,324501,0.34,0,0,17,2,0.5813241004943828,3.91387939453125,7518ff42ff5494cd6c9a4c8bf7be099bf3b6f8c3caf2f8b4a950b1b103b9dc2f,True
candidate,r2,loot-crate,224502,324502,0.16,0,0,8,2,0.851285457611083,2.6259422302246094,d26dfca707c9bd4584104a3c13f043c2d4945d73bd8330e507f00868bc303ae2,True
candidate,r2,loot-crate,224503,324503,0.48,0,0,24,12,0.9708523750305176,2.6047229766845703,0d36a2c09133066dadf4a3212a8b6149f7f47deab89d06163137aeab5c937323,True
candidate,r2,loot-crate,224504,324504,0.18,0,0,9,10,0.6478071212768548,1.920938491821289,d0eb4a31dbc3192c356b50481747f6cef63d1040ccf723f39e7f4a1ec0a9f215,True
candidate,r2,loot-crate,224505,324505,0.18,0,0,9,4,0.9495615959167475,7.457256317138672,e83f1e76989a3f844253363967c6c130ecf25751e2b66942c00271559f6b8bd9,True
candidate,r2,loot-crate,224506,324506,0.2,0,0,10,38,0.6769061088561996,11.455059051513672,7df5575cb8c64bd851951546c7a3b082723dea17f7f5e3b3a8dd5c136e7316df,True
candidate,r2,loot-crate,224507,324507,0.4,0,0,20,13,0.793874263763427,3.100872039794922,f2f3061a8f17e3b4aa78313f7eca6d042180e4d71c3fb863ff81a0f3d94eb7a0,True
candidate,r2,loot-crate,224508,324508,0.28,0,0,14,1,0.7749915122985832,1.3897418975830078,546732a2d1fd5dad4d7d37f0a59790d4b6422c65e2ba3ef3c64733ec436b5b31,True
candidate,r2,loot-crate,224509,324509,0.36,0,0,18,16,1.0524988174438472,2.7120113372802734,60359099604bd001511f47cd38367440b7638aed69c6333ccc99d8db80e49dfb,True
candidate,r2,loot-crate,224510,324510,0.38,0,1,19,4,0.699949264526367,1.6109943389892578,083af3a5f50d5b56f1aff11c10c50d7766e58d12937990eb450f627ad7052591,True
candidate,r2,loot-crate,224511,324511,0.08,0,0,4,0,0.6646871566772454,3.267049789428711,587a9a3b17d0cb0e79ae16415df47ef8900faa6010a47ccd6d5a40434b0badb5,True
candidate,r2,loot-crate,224512,324512,0.32,0,0,16,5,0.6787896156311031,2.0689964294433594,bfc2baa175478bbc56e15201486135efd02d0e55a64d62694ca359c472b06128,True
candidate,r2,loot-crate,224513,324513,0.48,0,0,24,8,0.6182909011840817,2.351999282836914,ed8cd249c15fb7f519fdc153d1b89093207a8f8751d2c74d69cfc0352b9e2177,True
candidate,r2,loot-crate,224514,324514,0.16,0,0,8,2,0.6136178970336909,1.7049312591552734,1ba4c8dd2905bdd53774eec2c17e8e59216ca3545a9fa20c33cc9fbc8d9c09de,True
candidate,r2,loot-crate,224515,324515,0.14,0,0,7,48,0.611114501953125,1.7118453979492188,30a09b28b39b08be90b70c343f986cbaa09fece49078797e92ab171f70c47ef1,True
candidate,r2,loot-crate,224516,324516,0.36,0,0,18,8,0.7875919342041008,1.7583370208740234,194f4790295df712485bd30b2fbbf3f9dff54f1b99b85bf03f6f476fd180ecc5,True
candidate,r2,loot-crate,224517,324517,0.2,0,0,10,2,0.6020545959472656,1.995086669921875,f826d228c90d2b708d27494f366c96c562d305c43ac4f7748a80b6ceb8b6e0d3,True
candidate,r2,loot-crate,224518,324518,0.08,0,0,4,4,0.17100572586059565,0.3409385681152344,328a0e7232ea311b46463c802efc819a4597045b136bf270f78d1deddba25548,True
candidate,r2,loot-crate,224519,324519,0.42,0,0,21,26,0.5099773406982422,1.325845718383789,dc2c3dd2c6d091195307e30415e1d4ee69c2e8ae829dc1272aef159f27b7e6fb,True
candidate,r2,loot-crate,224520,324520,0.18,0,1,9,2,0.2116680145263672,0.324249267578125,2b85e8b0a1a68d562f8f6d78ba781c8bfe0fe6c409d062c29dc89d12bb35d900,True
candidate,r3,peaceful,224101,324101,0.2222222222222222,0,0,2,43,0.2212882041931152,0.3750324249267578,178e35812d8111eb3a5d5db3406844d05103212b9fa97d76b7b8e179a85e30ff,True
candidate,r3,peaceful,224102,324102,0.4444444444444444,0,0,4,7,0.31307935714721674,0.4239082336425781,6ab2a429c4e47efb82e1842e45abd9b72ce4813e43e135816bf6461ff2ad9c8e,True
candidate,r3,peaceful,224103,324103,0.0,0,0,0,54,0.19316673278808588,0.8339881896972656,f7febd3d6d69c68c874594f43ef5848a6d2a021aed3976c43a2775faef13201d,True
candidate,r3,peaceful,224104,324104,0.5555555555555556,0,0,5,29,0.33831596374511697,1.0161399841308594,2503961a181bfcd69820acabd7154255729a3bc3e45f08f866b537661ca1f714,False
candidate,r3,peaceful,224105,324105,0.1111111111111111,0,0,1,3,0.20817518234252927,0.5829334259033203,2f1626b80db6408a51716d11f48af54bb91b07885e2d77062ed2863a572745b5,True
candidate,r3,peaceful,224106,324106,0.2222222222222222,0,0,2,18,0.3486156463623044,0.5691051483154297,3a4f7018f5e4e996fad56277b3fb4e172a8a942600bf523735f6afa0f313c94b,True
candidate,r3,peaceful,224107,324107,0.1111111111111111,0,0,1,29,0.38795471191406244,1.026153564453125,517b2eb6d34b6525ea9c214915a5ac9d7517537d7ab00a78370860e75d71024c,True
candidate,r3,peaceful,224108,324108,0.2222222222222222,0,0,2,42,0.24209022521972648,0.4069805145263672,21651cfa50995b0830f817d3d7cc4a403acf39227b2f966e816ba2b816bb5823,True
candidate,r3,peaceful,224109,324109,0.1111111111111111,0,1,1,3,0.1942396163940428,0.3199577331542969,9ff26cc41766ae47479f0cd9752903e558d61894fe600bc2c5a20705f25bb747,True
candidate,r3,peaceful,224110,324110,0.1111111111111111,0,0,1,54,0.1762270927429199,0.392913818359375,52298c28b93b9bd610ebcc4328eca3846501dc7f7a897e1dbcc70418fbb31201,True
candidate,r3,peaceful,224111,324111,0.0,0,0,0,19,0.3214001655578611,0.5128383636474609,0d04b7390951d548d72b5a824dfac727ff1d3dad8db2da300b25218b9ddcee8d,True
