treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
control,r4,coin-heaven,220404,320404,1.0,0,0,50,0,0.24602413177490223,0.3151893615722656,55ff5db71f98da3257eb00b3fad801fb3d362d20c0419bb9e850f5ccdab2b1d7,True
control,r4,coin-heaven,220405,320405,1.0,0,0,50,0,0.1920223236083984,0.28014183044433594,00faa51be40af07593bbdc02709550ce4dee3fb49991e114d700df4166f0cedc,True
control,r4,coin-heaven,220406,320406,1.0,0,0,50,0,0.23150444030761702,0.3268718719482422,53681c65909fe5b5837085c22ee1809e6d8bdbc7147af267d8bddd14ce2b885b,True
control,r4,coin-heaven,220407,320407,1.0,0,0,50,0,0.14114379882812497,0.28061866760253906,169eb0b736672e7c84616bac5b9395f50fa887197ccc55946a89fe40d8edf7da,True
control,r4,coin-heaven,220408,320408,1.0,0,0,50,0,0.15258789062499997,0.286102294921875,efcd5331469cdebe34f1ad08fc401d3512e154fec28253c265a83da78ad422da,True
control,r4,coin-heaven,220409,320409,1.0,0,0,50,0,0.2915978431701659,0.6639957427978516,4fc2c7be4b9a255a074a9cfa9fbbcec214f77b9c1dbb3b270919f4f32878cd18,True
control,r4,coin-heaven,220410,320410,1.0,0,0,50,0,0.2822518348693847,1.631021499633789,2a0e54cba14d26122226d560d1fd2b12495d6411a53284caa1dbcdc127899fe9,True
control,r4,coin-heaven,220411,320411,1.0,0,0,50,0,0.179290771484375,0.3209114074707031,9b51578ed3f83416c3e97b32986a74f1aa9cbaa8a280debf2ec3575a2d83d3d1,True
control,r4,coin-heaven,220412,320412,1.0,0,0,50,0,0.22923946380615232,0.25391578674316406,494459215fea730638e2f8f37e9c58fb5c8bc67bea57f6b28712174f61d194c3,True
control,r4,coin-heaven,220413,320413,1.0,0,0,50,0,0.2516984939575194,0.6716251373291016,c5305d48b0d0130e83db8a87fad037718fb3ad3e6ca987ba33fb38d32101d46e,True
control,r4,coin-heaven,220414,320414,1.0,0,0,50,0,0.2554178237915038,0.6577968597412109,98d7e6cc343be2cb5318bdde3e09eff45cd60d6c0919ae577d9531d268e8002d,True
control,r4,coin-heaven,220415,320415,1.0,0,0,50,0,0.1769304275512695,0.31113624572753906,e550006a7091a0533539b3055f97e8e9c4a2855f7fa4697021b5730072b4caf8,True
control,r4,coin-heaven,220416,320416,1.0,0,0,50,0,0.29225349426269515,0.4069805145263672,2379fb88c10cf7b8c91b1a76d4531816fb95dc5a501167240ce6d7dc2be63e72,True
control,r4,coin-heaven,220417,320417,1.0,0,0,50,0,0.3210306167602539,0.7307529449462891,ede093830988e10b14e263232c3162c6172d1f00271bc52e75095c53984fda53,True
control,r4,coin-heaven,220418,320418,1.0,0,0,50,0,0.21328926086425778,0.2732276916503906,71b7687c5479f8e80d1cce9945415007f6f09fd15b6eb923f9f664a15196d6a1,True
control,r4,coin-heaven,220419,320419,1.0,0,0,50,0,0.19111633300781242,0.45990943908691406,ff44fb5b008be7c02d4a12f0fb9e5cec2d99ea5d056729f83b0c4ab344b99b72,True
control,r4,coin-heaven,220420,320420,1.0,0,0,50,0,0.14919042587280273,0.23794174194335938,c1c0eb7b76af5d2dc3dd864df0b61abe3e0105467262739ac62631a5513a357f,True
control,r4,loot-crate,220501,320501,0.14,0,0,7,81,0.6165504455566404,1.33514404296875,3bb0857a9032813494def227687d682e64aab9e1760f9461db7c532ba37bc141,True
control,r4,loot-crate,220502,320502,0.26,0,0,13,25,0.35630464553832975,0.9219646453857422,a6b9ffcf30c4fd77731b8a032ab659a67dec8f6344b38e41ec2455cc84bfbeec,True
control,r4,loot-crate,220503,320503,0.12,0,1,6,2,0.3641128540039062,0.7376670837402344,02a26c93a52eb9cab8346c0fdb1d94fc1b79738d022e5aa8952913d65fd83353,True
control,r4,loot-crate,220504,320504,0.16,0,0,8,5,0.41031837463378884,1.3308525085449219,5da012ebdecd364cd4b40f299e0ae3917e5d1c51b1ba5bf00d186100ac76a9de,True
control,r4,loot-crate,220505,320505,0.72,0,0,36,7,0.5770802497863768,1.5499591827392578,51c9fe1aac1c31eebf72599812b27ebb942ca9c418d6fbc2ad63256d90921325,True
control,r4,loot-crate,220506,320506,0.2,0,0,10,7,0.4258275032043457,1.2478828430175781,0d82cdcd808632ed8e35d97d02f334e0fc5e1bd9567cb40b8d64aa80e5cdfc50,True
control,r4,loot-crate,220507,320507,0.48,0,1,24,11,0.5860328674316406,1.56402587890625,a2f1fa667c9d99aeec68c7e1998bce72a6e15dfa92d50ab29de3c258ed876f4c,True
control,r4,loot-crate,220508,320508,0.1,0,0,5,0,0.3787875175476068,0.6692409515380859,4f16b31c3c68a5f3b99b9cbc0315652e50bd3e674690370e0399e0663ecdd38e,True
control,r4,loot-crate,220509,320509,0.26,0,0,13,34,0.7201433181762692,1.2631416320800781,26f0ca05c292d19e5e07734f94ceefd9badf3ce8adfc531f0a77fb249c38662e,True
control,r4,loot-crate,220510,320510,0.3,0,0,15,32,0.2830028533935538,0.5388259887695312,fe293e31782262a64d5197026dc2d8f2103c0111206968c8d00eb714ef7bdb46,True
control,r4,loot-crate,220511,320511,0.24,0,0,12,4,0.43931007385253895,1.1677742004394531,d2f4de17aee7b4974d1d435da473a4df2c58f5795da1dfeb967ffc2273af690d,True
control,r4,loot-crate,220512,320512,0.2,0,0,10,37,0.40996074676513594,1.3320446014404297,8cb5598c9009048781d3bd2376a2fff8a3b6a19ddf0a1ff30faa3014c1da54d4,True
control,r4,loot-crate,220513,320513,0.5,0,0,25,12,0.5221605300903318,1.0559558868408203,d6a3973c6215e0927b0941cc7b3f09748b4cd3d190775cbb4a4f57074c3b110e,True
control,r4,loot-crate,220514,320514,0.24,0,0,12,7,0.5749344825744628,1.8270015716552734,e5dddd69a890f13ffccc4e84d2f93b605bca1bf548b4f71dd1d3e2a032e7be47,True
control,r4,loot-crate,220515,320515,0.1,0,0,5,0,0.6333470344543454,1.1551380157470703,5473bf35b43f527e88b7d6bf861c349897101a43f64d9b5e5ab90ad60ee51cb7,True
control,r4,loot-crate,220516,320516,0.62,0,0,31,20,0.6713867187499998,1.7516613006591797,dae5253e08d4dac4d9d8777ad76a00914acf4c3333e05d94e771b9a40ff0f58d,True
control,r4,loot-crate,220517,320517,0.1,0,0,5,0,0.6784081459045407,2.2840499877929688,3a83dd3ea25e2b379aeb01cceaaaf1e4e8fac8b8f676f1095b3582f0b266a5b8,True
control,r4,loot-crate,220518,320518,0.36,0,0,18,6,0.6950736045837393,2.1789073944091797,ee83c5b556f6b203c0b6c2862d19eccc69e4f7ad8076b0ebd8051b41ecec91be,True
control,r4,loot-crate,220519,320519,0.74,0,0,37,6,0.3264427185058591,0.6861686706542969,0bb0c4b88b1dc52a82082eaf8a7d8ed5f8897143e5772a98cbaf5618a3660955,True
control,r4,loot-crate,220520,320520,0.06,0,1,3,0,0.4279136657714843,0.7479190826416016,06aba310611e7e31dd57d04409f87c20810a6cfe36842fe1aebe1d191dcdbc4d,True
control,r5,peaceful,220101,320101,0.4444444444444444,0,1,4,3,0.8223056793212891,1.5649795532226562,d195bb106cb38f28fddde56d6fc638ffc173e0584fd3457c1a18501687b7cefd,True
control,r5,peaceful,220102,320102,0.0,0,0,0,0,0.6399154663085929,2.332925796508789,fa665a9aa52faa683b6637c69fc39f09c79aaa3afb23fa9bd95a153fa44bb7d0,True
control,r5,peaceful,220103,320103,0.0,0,0,0,0,0.6751656532287595,1.058816909790039,c5ffc21264cdeabff7eae28b8efdfd9c3cdc979b6a7d84d0d832791b9aebdd9d,True
control,r5,peaceful,220104,320104,0.7777777777777778,0,0,7,10,1.294255256652831,3.481149673461914,592a99db23a284ada03b587061017f14ef98e1da2e5f25590ae0a8649f2a8f6b,True
control,r5,peaceful,220105,320105,0.4444444444444444,0,0,4,5,0.8140921592712399,1.9450187683105469,ebf1416427250da541b126d214a985b68186665029ef9b422447e196f414de64,True
control,r5,peaceful,220106,320106,0.2222222222222222,0,0,2,0,0.9073138236999508,2.9659271240234375,2a713e20223bf414fb4a13956d90fde4f89ebed8a64ec32b04fbb0b9b0ec52e2,True
