schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,cell,model,scenario,collection_fraction
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,0,0,9,1,11,4,,0,0,400,0.0,True,step_limit,16ed8c424f78b083f678a86f285795b64fb0082eb0457e23ba713b49bb4d8eb6,3,3,5,3,382,4,0,3.0574798583984375,3.2538414001464844,3.842592239379883,,,,,,,,,,,,,,,,29100033,39100033,A,r1,classic,0.0
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,234,234,5,5,9,6,68,30,,1,8,234,0.03418803418803419,False,killed,121fcf5c8230cc60d2851fc98e075d3ce8ef1ebd1b6c2edf552eb3d1c9e4a8ba,45,31,30,39,54,35,0,2.873659133911133,6.700098514556885,10.169029235839844,,,,,,,,,,,,,,,,29100034,39100034,A,r1,classic,0.5555555555555556
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,7,7,9,7,103,53,,0,20,400,0.05,True,step_limit,cef41f8fc3bac9110bee14af2081cf1600030daf313faea5a2b8a5d318018280,67,60,61,72,72,68,0,3.09908390045166,8.092117309570305,10.855436325073242,,,,,,,,,,,,,,,,29100035,39100035,A,r1,classic,0.7777777777777778
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,7,7,9,7,51,52,,0,9,400,0.0225,True,step_limit,1c29f008e2edda1397bc20355681360c1656a69fa100001b5fc85340ae6d44b3,49,79,53,92,68,59,0,3.654599189758301,8.642923831939695,10.751962661743164,,,,,,,,,,,,,,,,29100036,39100036,A,r1,classic,0.7777777777777778
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,2,2,9,3,41,18,,0,3,400,0.0075,True,step_limit,178d6412ae7e1e6054d12d71e8fe4a89711f20689e4f144c744deee13687d425,25,156,19,158,22,20,0,4.053831100463867,7.288062572479247,8.30984115600586,,,,,,,,,,,,,,,,29100037,39100037,A,r1,classic,0.2222222222222222
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,8,8,9,8,87,53,,0,19,400,0.0475,True,step_limit,466a4f3315396699c3adee65c38bef6a6a86612ede4199fed8be9e02c4e4cbc4,59,61,74,68,69,69,0,3.0410289764404297,7.860207557678222,11.260509490966797,,,,,,,,,,,,,,,,29100038,39100038,A,r1,classic,0.8888888888888888
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,8,8,9,8,106,55,,0,18,400,0.045,True,step_limit,461e0e7df5e6cd8b0e002651f6a66418680a90882fa56d16c5ed0bebedbe8e4c,66,59,63,48,92,72,0,2.86102294921875,8.344137668609612,10.062217712402344,,,,,,,,,,,,,,,,29100039,39100039,A,r1,classic,0.8888888888888888
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,2,2,9,3,34,14,,0,294,400,0.735,True,step_limit,1c0de2fead29598de6943c2c6c295e32d7f4b924bfeafbdf746ea01581cda86a,313,15,15,16,27,14,0,4.265308380126953,4.861283302307129,7.115364074707031,,,,,,,,,,,,,,,,29100040,39100040,A,r1,classic,0.2222222222222222
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,17,17,50,0,0,3,,0,1,400,0.0025,True,step_limit,e8adde4ffe2e3a6a9bf7bca504999ca20592918e420e839d9419d2cd94d20a77,3,189,16,188,1,3,0,6.123542785644531,9.221923351287842,11.673212051391602,,,,,,,,,,,,,,,,29100101,39100101,A,r1,coin-heaven,0.34
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,1,1,50,0,0,0,,0,399,400,0.9975,True,step_limit,a1cf38ac769150887a263f8942c964a9605f12dbed928fb646ff18b3470c749b,0,0,1,399,0,0,0,3.478527069091797,3.8098216056823726,4.408836364746094,,,,,,,,,,,,,,,,29100102,39100102,A,r1,coin-heaven,0.02
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,16,16,50,0,0,5,,0,6,400,0.015,True,step_limit,1f08995422687bff5e66df0412949aaed1af960b7db2be2d4455402abb03b024,3,194,14,181,0,8,0,5.353689193725586,6.471347808837886,12.327194213867188,,,,,,,,,,,,,,,,29100103,39100103,A,r1,coin-heaven,0.32
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,27,27,50,0,0,3,,0,1,400,0.0025,True,step_limit,358a877a7f9865a192756b117d4df4416aa8481168836a9e17a82135a934e328,9,178,22,188,0,3,0,6.593465805053711,10.204553604125977,12.269258499145508,,,,,,,,,,,,,,,,29100104,39100104,A,r1,coin-heaven,0.54
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,7,7,50,0,0,2,,0,385,400,0.9625,True,step_limit,67a654c6941340da5518abad4feca4bf800b3d5d75a5e5851d58b933e74c450f,7,1,0,390,0,2,0,7.332444190979004,8.247065544128416,11.564970016479492,,,,,,,,,,,,,,,,29100105,39100105,A,r1,coin-heaven,0.14
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,12,12,50,0,0,1,,0,376,400,0.94,True,step_limit,0d9123810f5e96eead56524d0b17a53bda6af08d4233f8eaaf3f0817da6c5589,1,3,391,4,0,1,0,3.488779067993164,4.342114925384519,10.541677474975586,,,,,,,,,,,,,,,,29100106,39100106,A,r1,coin-heaven,0.24
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,9,9,50,0,0,2,,0,378,400,0.945,True,step_limit,670b4eb868aa93d8be65964297b81df83e74f2597f0419134e4f3423ae34f7a3,3,8,385,1,1,2,0,7.3394775390625,8.48269462585449,12.443304061889648,,,,,,,,,,,,,,,,29100107,39100107,A,r1,coin-heaven,0.18
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,14,14,50,0,0,1,,0,380,400,0.95,True,step_limit,5af8dfea87b5807ba44b162f411b9f78ed03cfd710bac5a2c6e0fbb9e1b11b3a,11,5,381,2,0,1,0,6.551504135131836,7.39614963531494,11.81483268737793,,,,,,,,,,,,,,,,29100108,39100108,A,r1,coin-heaven,0.28
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,21,21,50,0,0,3,,0,0,400,0.0,True,step_limit,c71b0d17266e6f5ca290c312db1c0098f4abb8ba66a0602801d51d0673c955ce,14,187,14,182,0,3,0,5.983591079711914,7.070207595825193,12.342453002929688,,,,,,,,,,,,,,,,29100109,39100109,A,r1,coin-heaven,0.42
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,4,4,50,0,0,0,,0,395,400,0.9875,True,step_limit,29334ac52c89c996c3c832ee6611aaed959c3f244e7f3260a9bc09ee79646e7f,0,0,395,5,0,0,0,4.708528518676758,5.058634281158444,6.7138671875,,,,,,,,,,,,,,,,29100110,39100110,A,r1,coin-heaven,0.08
