cell,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms,collected_per_revealed_coin_proxy
A,r4,coin-heaven,40,0.192,9.6,0.0,0.05,1.0,400.0,400.0,41.666666666666664,2.4,0,0,19,0.0,0.0,0.6461875,196,1856,4751,7641,1537,19,0,12.40870952606201,17.957210540771484,
A,r4,loot-crate,40,0.2125,10.625,0.0,0.025,0.825,343.05,343.05,32.287058823529414,3.0972161492493804,492,1258,594,2.1178451178451176,0.175,0.05203323130738959,1201,1199,1150,1567,7873,732,0,8.702147006988525,11.050939559936523,0.8638211382113821
A,r5,classic,40,0.24722222222222223,2.225,0.0,0.25,0.925,379.975,379.975,170.77528089887642,0.5855648397920916,105,1557,1537,1.0130123617436564,0.075,0.09658530166458319,4082,1891,2870,2073,2389,1894,0,9.181070327758787,15.70749282836914,0.8476190476190476
A,r5,coin-heaven,40,0.067,3.35,0.0,0.225,1.0,400.0,400.0,119.40298507462687,0.8375,0,0,3,0.0,0.0,0.3480625,2211,595,3051,3107,7033,3,0,12.261128425598137,16.8609619140625,
A,r5,loot-crate,40,0.20950000000000002,10.475,0.0,0.05,0.9,372.3,372.3,35.5417661097852,2.8135911899006176,500,1234,598,2.0635451505016724,0.1,0.3853075476766049,5734,1578,3128,2694,1009,749,0,8.012092113494873,11.566877365112305,0.838
B,r1,classic,40,0.19722222222222222,1.775,0.0,0.2,0.875,363.975,363.975,205.05633802816902,0.4876708565148705,85,1338,1047,1.2779369627507164,0.125,0.06841129198433958,3764,1616,3618,2551,1929,1081,0,10.21181344985962,11.616945266723633,0.8352941176470589
B,r1,coin-heaven,40,0.034,1.7,0.0,0.35,1.0,400.0,400.0,235.2941176470588,0.425,0,0,6,0.0,0.0,0.694,2396,31,8003,5562,2,6,0,10.626602172851562,12.866497039794922,
B,r1,loot-crate,40,0.13,6.5,0.0,0.1,0.675,289.25,289.25,44.5,2.247191011235955,345,871,569,1.5307557117750439,0.325,0.31832324978392396,2400,1295,2805,3582,780,708,0,7.754707336425781,11.888265609741211,0.7536231884057971
B,r2,classic,40,0.19444444444444445,1.75,0.0,0.45,0.75,320.575,320.575,183.18571428571428,0.5458940965452702,90,1228,665,1.8466165413533835,0.25,0.1537081806129611,3942,1960,2875,1884,1324,838,0,9.408271312713621,14.601469039916992,0.7777777777777778
B,r2,coin-heaven,40,0.0335,1.675,0.0,0.325,1.0,400.0,400.0,238.80597014925374,0.41875,0,0,24,0.0,0.0,0.4453125,826,417,2035,4763,7927,32,0,11.812591552734375,12.774467468261719,
B,r2,loot-crate,40,0.1525,7.625,0.0,0.225,0.675,295.25,295.25,38.721311475409834,2.582557154953429,381,974,395,2.4658227848101264,0.325,0.26147332768839965,3824,1540,2158,2727,1042,519,0,9.916400909423826,11.10982894897461,0.800524934383202
B,r3,classic,40,0.1861111111111111,1.675,0.0,0.375,0.975,390.7,390.7,233.2537313432836,0.42871768620424877,96,1289,860,1.4988372093023257,0.025,0.02706680317379063,2285,2152,2228,2065,5836,1062,0,10.008847713470459,13.092994689941406,0.6979166666666666
B,r3,coin-heaven,40,0.048,2.4,0.0,0.225,1.0,400.0,400.0,166.66666666666666,0.6,0,0,11,0.0,0.0,0.0754375,46,2213,65,1038,12622,16,0,10.828900337219235,13.167619705200195,
B,r3,loot-crate,40,0.10900000000000001,5.45,0.0,0.025,0.975,390.525,390.525,71.6559633027523,1.3955572626592407,303,732,508,1.4409448818897639,0.025,0.03367262019076884,1546,1202,1528,1174,9280,891,0,8.339512348175047,10.750770568847656,0.7194719471947195
B,r4,classic,40,0.2972222222222222,2.675,0.0,0.225,0.875,361.575,361.575,135.16822429906543,0.7398188480951393,120,1692,1313,1.2886519421172886,0.125,0.023231694669155777,3338,2120,3150,1959,2368,1528,0,9.704840183258057,11.15560531616211,0.8916666666666667
B,r4,coin-heaven,40,0.1995,9.975,0.0,0.05,0.975,391.725,391.725,39.27067669172932,2.546429255217308,0,0,45,0.0,0.025,0.7785436211628055,9119,4797,265,1433,10,45,0,11.704158782958984,13.993978500366211,
B,r4,loot-crate,40,0.201,10.05,0.0,0.0,0.4,226.6,226.6,22.54726368159204,4.435127978817299,475,1224,619,1.9773828756058158,0.6,0.360216240070609,3315,1622,1111,893,1085,1038,0,7.919704914093018,10.830402374267578,0.8463157894736842
B,r5,classic,40,0.07777777777777778,0.7,0.0,0.675,0.975,390.175,390.175,557.3928571428571,0.179406676491318,32,480,209,2.2966507177033493,0.025,0.026398410969436792,420,6776,753,6845,591,222,0,7.254970073699948,8.118391036987305,0.875
B,r5,coin-heaven,40,0.025500000000000002,1.275,0.0,0.325,1.0,400.0,400.0,313.72549019607845,0.31875,0,0,5,0.0,0.0,0.1501875,1250,2410,414,806,11113,7,0,10.931527614593506,14.89710807800293,
B,r5,loot-crate,40,0.0595,2.975,0.0,0.225,0.95,381.975,381.975,128.39495798319328,0.7788467831664376,149,370,263,1.4068441064638784,0.05,0.1353491720662347,1021,5058,2481,5509,887,323,0,7.146096229553223,8.40616226196289,0.7986577181208053
frozen_task1,reference,coin-heaven,40,0.765,38.25,0.325,0.0,1.0,312.0,312.0,8.156862745098039,12.259615384615385,0,0,0,,0.0,0.000641025641025641,3501,2708,3483,2781,7,0,0,0.2788424491882324,0.7989406585693359,
untrained,reference,classic,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,0.0,0.6,0,0,9600,0,6400,0,0,1.2441992759704588,1.8334388732910156,
untrained,reference,coin-heaven,40,0.765,38.25,0.325,0.0,1.0,312.0,312.0,8.156862745098039,12.259615384615385,0,0,0,,0.0,0.000641025641025641,3501,2708,3483,2781,7,0,0,12.348854541778564,16.31641387939453,
untrained,reference,loot-crate,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,0.0,0.5,0,0,8000,0,8000,0,0,1.3728618621826172,2.6912689208984375,
