stage,job,world_seed,agent_seed,repeat,behavior_epsilon,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions
training,control-r2,1931302006,3931302,,0.0,5,1,0.5555555555555556,5,49,0,1,400,0,0,48
training,control-r2,1931302007,3931302,,0.0,11,1,0.6666666666666666,6,60,1,0,216,1,0,28
training,control-r2,1931302008,3931302,,0.0,1,1,0.1111111111111111,1,28,0,0,228,1,0,22
training,control-r2,1931302009,3931302,,0.0,0,0,0.0,0,23,0,0,94,1,0,13
training,control-r2,1931302010,3931302,,1.0,0,0,0.0,0,3,0,0,18,1,0,2
training,control-r2,1931302011,3931302,,0.0,3,1,0.3333333333333333,3,52,0,1,400,0,0,32
training,control-r2,1931302012,3931302,,0.0,1,1,0.1111111111111111,1,21,0,1,400,0,0,11
training,control-r2,1931302013,3931302,,0.0,11,1,0.6666666666666666,6,66,1,1,400,0,0,31
training,control-r2,1931302014,3931302,,0.0,5,1,0.5555555555555556,5,67,0,0,261,1,1,22
training,control-r2,1931302015,3931302,,1.0,0,0,0.0,0,5,0,0,23,1,0,3
training,control-r2,1931302016,3931302,,0.0,0,0,0.0,0,32,0,1,400,0,0,11
training,control-r2,1931302017,3931302,,0.0,4,1,0.4444444444444444,4,48,0,1,400,0,0,24
training,control-r2,1931302018,3931302,,0.0,7,1,0.2222222222222222,2,96,1,1,400,0,0,50
training,control-r2,1931302019,3931302,,1.0,0,0,0.0,0,2,0,0,11,1,0,1
training,control-r2,1931302020,3931302,,0.0,13,1,0.8888888888888888,8,101,1,1,400,0,0,53
training,control-r2,1931302021,3931302,,0.0,0,0,0.0,0,5,0,0,14,1,0,2
training,control-r2,1931302022,3931302,,0.0,1,1,0.1111111111111111,1,45,0,0,128,1,0,17
training,control-r2,1931302023,3931302,,0.0,6,1,0.6666666666666666,6,65,0,1,400,0,0,48
training,control-r2,1931302024,3931302,,1.0,0,0,0.0,0,3,0,0,11,1,0,1
training,control-r2,1931302025,3931302,,0.0,2,1,0.2222222222222222,2,41,0,0,156,1,0,21
training,control-r2,1931302026,3931302,,0.0,3,1,0.3333333333333333,3,67,0,1,400,0,0,37
training,control-r2,1931302027,3931302,,0.0,2,1,0.2222222222222222,2,44,0,0,133,1,0,18
training,control-r2,1931302028,3931302,,0.0,4,1,0.4444444444444444,4,57,0,1,400,0,0,33
training,control-r2,1931302029,3931302,,0.0,8,1,0.8888888888888888,8,103,0,1,400,0,0,55
training,control-r2,1931302030,3931302,,1.0,0,0,0.0,0,3,0,0,10,1,0,1
training,control-r2,1931302031,3931302,,0.0,12,1,0.7777777777777778,7,77,1,1,400,0,0,42
training,control-r2,1931302032,3931302,,1.0,0,0,0.0,0,4,0,0,11,1,0,1
training,control-r2,1931302033,3931302,,0.0,4,1,0.4444444444444444,4,68,0,1,400,0,0,45
training,control-r2,1931302034,3931302,,0.0,10,1,0.5555555555555556,5,52,1,0,192,1,0,26
training,control-r2,1931302035,3931302,,0.0,7,1,0.2222222222222222,2,69,1,0,287,1,0,38
training,control-r2,1931302036,3931302,,0.0,12,1,0.7777777777777778,7,70,1,1,400,0,0,52
training,control-r2,1931302037,3931302,,0.0,6,1,0.6666666666666666,6,95,0,1,400,0,0,51
