plan_id,run_id,kind,replica,stage_or_suite,world_seed,agent_seed,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-005,evaluation,r1,coin-heaven-primary,72005,82005,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,3,3,50,0,0,0,0,395,400,0.9875,True,step_limit,ce03af68275c487c13103154b6d029678fa6ad311d1839ec0161912ed99d310f,0,395,5,0,0,0,0,0.48089027404785156,0.6673693656921387,1.2202262878417969,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-006,evaluation,r1,coin-heaven-primary,72006,82006,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,11,11,50,0,0,0,0,0,400,0.0,True,step_limit,68490c18b574008ff72b26d19f37d422a5338a9bfb2a1e62d0601d0c41c99567,3,203,5,189,0,0,0,0.5605220794677734,0.7229208946228025,1.1870861053466797,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-007,evaluation,r1,coin-heaven-primary,72007,82007,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,6,6,50,0,0,0,0,0,400,0.0,True,step_limit,7790b21ebbdbd6bc9a5141f6ef6ceabbc03eefa187dbe088120f57525bfe91ac,0,196,10,194,0,0,0,0.6374120712280273,0.7883071899414061,1.4684200286865234,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-008,evaluation,r1,coin-heaven-primary,72008,82008,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,4,4,50,0,0,0,0,0,400,0.0,True,step_limit,9231f5c92decb59bb95d9ffd250a8e0aae3b7b0ca38c3934427ea95f71f99dd9,1,200,3,196,0,0,0,0.6077289581298828,0.7513165473937988,2.1669864654541016,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-009,evaluation,r1,coin-heaven-primary,72009,82009,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,1,1,50,0,0,0,0,399,400,0.9975,True,step_limit,3e7205c882a6358ae2f2f227ef9c3ffb7f563b0233b28230be4b5813ea25e089,1,399,0,0,0,0,0,0.4706382751464844,0.6089329719543457,1.3523101806640625,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-primary-seed-010,evaluation,r1,coin-heaven-primary,72010,82010,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,2,2,50,0,0,0,0,0,400,0.0,True,step_limit,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,0,200,0,200,0,0,0,0.5453824996948242,0.6821513175964353,2.705097198486328,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-repeat-seed-001,evaluation,r1,coin-heaven-repeat,72001,82001,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,1,1,50,0,0,0,0,395,400,0.9875,True,step_limit,253ada995209035a982af1a22d6355406092f19db0fbd55ee1a43b012598d76c,5,395,0,0,0,0,0,0.48995018005371094,0.6425380706787107,1.2729167938232422,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-repeat-seed-002,evaluation,r1,coin-heaven-repeat,72002,82002,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,8,8,50,0,0,0,0,387,400,0.9675,True,step_limit,5e4b3846ce3628eef2052f76a844a121c056592268ff2984480ed283f91c4cae,10,389,1,0,0,0,0,0.5328655242919922,0.6772518157958983,1.5289783477783203,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-repeat-seed-003,evaluation,r1,coin-heaven-repeat,72003,82003,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,8,8,50,0,0,0,0,0,400,0.0,True,step_limit,79cfabc715a8eea6cc40e3f2e86fc88ec400c71c5a60ef9910c6214922134c78,0,199,4,197,0,0,0,0.6052255630493164,0.6916642189025872,1.1937618255615234,,,,,,,,,
issue103-dqn-task2-reward-safety-bomb,eval-r1-coin-heaven-repeat-seed-004,evaluation,r1,coin-heaven-repeat,72004,82004,1,1,_run_plan_2a400fc2fb_82f3e9c695,evaluation,400,400,13,13,50,0,0,0,0,1,400,0.0025,True,step_limit,d59771c725ea3612e57955049f95b5be3509ce74fb5e3ed2f100d0e139087ab0,11,195,4,190,0,0,0,0.6272792816162109,0.9295105934143065,2.405405044555664,,,,,,,,,
