treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
candidate,r4,loot-crate,210519,310519,0.0,0,0,0,0,0.3282070159912108,1.0528564453125,ec4d2d691ba807368054ab792e15b86f9a876da886ced21d0f6805ce126bf166,True
candidate,r4,loot-crate,210520,310520,0.06,0,0,3,1,0.35320520401000965,1.0647773742675781,55aa1c80395220f00d968036537f43fabff1f33b2ce73a2403748f7979cd16bd,True
candidate,r5,peaceful,210101,310101,0.0,0,0,0,3,0.4623174667358394,2.554178237915039,a52e1404f304eda959babe91e94041d2b526217c0fff708f7ff0f92506c91298,True
candidate,r5,peaceful,210102,310102,0.2222222222222222,0,0,2,13,0.814604759216308,3.0951499938964844,786cc7c11faa30f5875d727abeb1fd971004f737c701de4f561889ffad3ab7dd,True
candidate,r5,peaceful,210103,310103,0.1111111111111111,0,0,1,9,0.7523775100707996,5.298852920532227,8f0dc95b080dfdb39bde2112a1fea6f179ec25315a52c4ebf7cbfb07137b6ec6,True
candidate,r5,peaceful,210104,310104,0.1111111111111111,0,0,1,5,0.6301045417785642,1.703023910522461,f5270aaf214145fc954a1f3619f7accf3320f662e894909480c8b1156fd8c8dd,True
candidate,r5,peaceful,210105,310105,0.4444444444444444,0,0,4,18,0.5397558212280267,2.1049976348876953,a71ea3e30145e26d730f86d390e7cc813ad22b57757027d41f430b45dc36130e,True
candidate,r5,peaceful,210106,310106,0.0,0,0,0,3,0.31117200851440424,0.9438991546630859,a52e1404f304eda959babe91e94041d2b526217c0fff708f7ff0f92506c91298,True
candidate,r5,peaceful,210107,310107,0.0,0,0,0,11,0.26345252990722634,0.4360675811767578,b505802dbdec363bf1aa0a2e1c1d19164145a272062a068355cee46f5c5b970c,True
candidate,r5,peaceful,210108,310108,0.3333333333333333,0,0,3,15,0.8640766143798828,5.623817443847656,e9fe881a1729965bad23af3b98cc94d729da985a4fedf43032efd55cdf07821c,True
candidate,r5,peaceful,210109,310109,0.0,0,0,0,3,0.4120111465454095,2.341032028198242,a52e1404f304eda959babe91e94041d2b526217c0fff708f7ff0f92506c91298,True
candidate,r5,peaceful,210110,310110,0.5555555555555556,0,0,5,32,0.5651354789733883,3.9789676666259766,8b7a29e03191ca94d2b57c2cd3f8a7605c229a7c4e2f36a172553c96d076cc33,True
candidate,r5,peaceful,210111,310111,0.2222222222222222,0,0,2,5,0.3058910369873047,0.621795654296875,825b71910d013fc952cd90ff647ce7ea62900e43a455fa6dc0dcc92eb8eeb7ca,True
candidate,r5,peaceful,210112,310112,0.4444444444444444,0,0,4,23,0.3379106521606445,0.8592605590820312,1b34e3b18536a2f15df9361f0944e46b11dc6379efd031cffd006886987e33d6,True
candidate,r5,peaceful,210113,310113,0.3333333333333333,0,0,3,23,1.0213971138000486,3.2529830932617188,4e27b8825cf5c8ec24c7c9a500ffbf1aaea99da961d710049ef64d569fd1137c,True
candidate,r5,peaceful,210114,310114,0.0,0,0,0,6,0.8413314819335935,1.3828277587890625,3cf421b396315ffe87e270d654bc5089bf585aea4481e4e42b6610289e3ec37e,True
candidate,r5,peaceful,210115,310115,0.0,0,0,0,6,0.17191171646118164,0.33092498779296875,ed8b302641b58d79e1a5fd497faeeda981cc81aaa2a0a29221dbb0073665193c,True
