treatment,model,scenario,world_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,evaluation_decisions,evaluation_unseen_decisions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match,repeat_decision_time_p95_ms,repeat_decision_time_max_ms,repeat_action_sequence_sha256
control,r1,classic,152028,2,9,0.2222222222222222,0,400,0,0.21932125091552693,1.775979995727539,083e41be8880d45ea55692f0f6f2ce6dad0cc1a4bf3ca865fb17e1c795f9071c,True,0.18793344497680659,0.4889965057373047,083e41be8880d45ea55692f0f6f2ce6dad0cc1a4bf3ca865fb17e1c795f9071c
control,r1,classic,152029,0,9,0.0,0,400,0,0.21319389343261713,0.5369186401367188,dc913a2a44157cc2425aedf43f7595d1ea3cf54a0ec6c9004de233182934ab5f,True,0.1552462577819824,1.1868476867675781,dc913a2a44157cc2425aedf43f7595d1ea3cf54a0ec6c9004de233182934ab5f
control,r1,classic,152030,0,9,0.0,0,400,0,0.16571283340454102,0.4799365997314453,17fe56d3cca8ab00c40051f3cad3ef85f7a758998a80d060861c1320f4b43bb0,True,0.14429092407226557,0.5710124969482422,17fe56d3cca8ab00c40051f3cad3ef85f7a758998a80d060861c1320f4b43bb0
control,r1,classic,152031,2,9,0.2222222222222222,0,400,0,0.23012161254882807,0.7388591766357422,ce190a08ce4f162b0dcdba36fb374829bea4fcc70479e8423bd6de651762f123,True,0.2725124359130857,1.1188983917236328,ce190a08ce4f162b0dcdba36fb374829bea4fcc70479e8423bd6de651762f123
control,r1,classic,152032,0,9,0.0,0,400,0,0.4267215728759749,1.2080669403076172,de56b5e3c352d52534173c9818c6920ea0706241b8f66cb6aa7e7709a4901606,True,0.156128406524658,0.5650520324707031,de56b5e3c352d52534173c9818c6920ea0706241b8f66cb6aa7e7709a4901606
control,r1,classic,152033,0,9,0.0,0,400,0,0.13899803161621094,0.3650188446044922,b603bea71d26d58e1cbcc21b34b320a082d2d36eeb0a13800c50ec7505504c1d,True,0.23422241210937492,1.40380859375,b603bea71d26d58e1cbcc21b34b320a082d2d36eeb0a13800c50ec7505504c1d
control,r1,classic,152034,0,9,0.0,0,400,0,0.13618469238281244,0.6148815155029297,17fe56d3cca8ab00c40051f3cad3ef85f7a758998a80d060861c1320f4b43bb0,True,0.16204118728637681,3.1070709228515625,17fe56d3cca8ab00c40051f3cad3ef85f7a758998a80d060861c1320f4b43bb0
control,r1,classic,152035,0,9,0.0,0,400,0,0.3819465637207031,1.2629032135009766,23c9af6a84458602e195ef25cda7417cc09d4c398f3292cf5ba1c811a75b220e,True,0.1691460609436034,0.514984130859375,23c9af6a84458602e195ef25cda7417cc09d4c398f3292cf5ba1c811a75b220e
control,r1,classic,152036,0,9,0.0,0,400,0,0.20308494567870988,0.5931854248046875,ba427b0d1b7f4827c1450171ad943e8208d37864c558722815bb42eaca5f93a8,True,0.2543807029724119,2.447843551635742,ba427b0d1b7f4827c1450171ad943e8208d37864c558722815bb42eaca5f93a8
control,r1,classic,152037,0,9,0.0,0,400,0,0.16294717788696278,1.0008811950683594,dbd185225d487b3acaa1a7501f3e03d2a2512bbea526cd09de0162310b211be3,True,0.17882585525512695,0.8456707000732422,dbd185225d487b3acaa1a7501f3e03d2a2512bbea526cd09de0162310b211be3
