treatment,model,scenario,world_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,evaluation_decisions,evaluation_unseen_decisions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match,repeat_decision_time_p95_ms,repeat_decision_time_max_ms,repeat_action_sequence_sha256
control,r1,coin-heaven,173009,50,50,1.0,0,131,0,0.7364749908447266,2.1550655364990234,6f22382964b99070fd01ac6994559df4e79465f29c5f69d6b90e29d07dccd044,True,0.20003318786621094,0.7648468017578125,6f22382964b99070fd01ac6994559df4e79465f29c5f69d6b90e29d07dccd044
control,r1,coin-heaven,173010,50,50,1.0,0,110,0,0.3774046897888183,1.27410888671875,5dc44785fb0af3bf3831425ed763a2cf5127eb0b4a14f2560a9c7c05bd5957bd,True,0.21526813507080061,0.5040168762207031,5dc44785fb0af3bf3831425ed763a2cf5127eb0b4a14f2560a9c7c05bd5957bd
control,r1,coin-heaven,173011,50,50,1.0,0,128,0,0.4149794578552243,0.9500980377197266,4c3c58c50bbae84eb1ba6878fcec8fe1c0003959d31772d8646f3412fce5045e,True,0.29959678649902344,0.40411949157714844,4c3c58c50bbae84eb1ba6878fcec8fe1c0003959d31772d8646f3412fce5045e
control,r1,coin-heaven,173012,50,50,1.0,0,116,0,0.9242892265319824,1.443624496459961,a8a6565d7dde18f43ddc6b77d920f0e58192d7cd81b45a56bd96c5388f23431e,True,0.21010637283325195,0.46706199645996094,a8a6565d7dde18f43ddc6b77d920f0e58192d7cd81b45a56bd96c5388f23431e
control,r1,coin-heaven,173013,50,50,1.0,0,134,0,0.5877852439880371,0.9698867797851562,d957fc33a7c126fef0e690e9353caaba8abdf37fc0377ce6d2ffd057b0568a3c,True,0.21828413009643552,0.3192424774169922,d957fc33a7c126fef0e690e9353caaba8abdf37fc0377ce6d2ffd057b0568a3c
control,r1,coin-heaven,173014,50,50,1.0,0,120,0,0.6360411643981929,1.6241073608398438,c5d6218882421ecf3f45af9fd1f035507afe19b6ff3cd7e8363cb77d67ff7da7,True,0.2656340599060058,0.51116943359375,c5d6218882421ecf3f45af9fd1f035507afe19b6ff3cd7e8363cb77d67ff7da7
control,r1,coin-heaven,173015,50,50,1.0,0,128,0,0.42954683303832986,0.6451606750488281,c24ca44f829f5f3dc4c22666a57dfbaf962f0380ebe8185206516097d0654fb6,True,0.19186735153198226,0.23174285888671875,c24ca44f829f5f3dc4c22666a57dfbaf962f0380ebe8185206516097d0654fb6
control,r1,coin-heaven,173016,50,50,1.0,0,118,0,0.8435130119323723,2.3300647735595703,4b9ce1c3d3a160b66517bce49e85d70ec59bf9bea4626371959b1a463311819b,True,0.3161072731018066,0.9760856628417969,4b9ce1c3d3a160b66517bce49e85d70ec59bf9bea4626371959b1a463311819b
control,r1,coin-heaven,173017,50,50,1.0,0,128,0,0.5835652351379389,1.8718242645263672,6942650f3125721ea41e1408c8cc0c0428a2b888f85451295dce3535c71a38e2,True,0.21325349807739252,0.3750324249267578,6942650f3125721ea41e1408c8cc0c0428a2b888f85451295dce3535c71a38e2
control,r1,coin-heaven,173018,50,50,1.0,0,116,0,0.7523298263549805,1.9109249114990234,e7634f579038c00dca1c34877c5475f8f32c39d25da109beed7545ab33aaa07a,True,0.15097856521606445,0.4286766052246094,e7634f579038c00dca1c34877c5475f8f32c39d25da109beed7545ab33aaa07a
