model,pass,world_seed,initially_available_coins,evaluation_git_commit,evaluation_duration_seconds,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
run-01,primary,31029,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.121244099995238,1,1,DagobertDuckDQN,evaluation,141,141,50,50,0,141,0.0,True,survived,34,42,35,30,0,0,0,0.2086162567138672,0.4019737243652344,1.1281967163085938,,,,,,,,,
run-01,primary,31030,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.025899500004016,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,37,28,34,32,0,0,0,0.217437744140625,0.41866302490234375,1.2288093566894531,,,,,,,,,
run-01,primary,31031,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.990337199997157,1,1,DagobertDuckDQN,evaluation,123,123,50,50,0,123,0.0,True,survived,24,34,38,27,0,0,0,0.22411346435546875,0.44476985931396423,1.4722347259521484,,,,,,,,,
run-01,primary,31032,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.00068719999399,1,1,DagobertDuckDQN,evaluation,123,123,50,50,0,123,0.0,True,survived,33,26,33,31,0,0,0,0.20956993103027344,0.4750490188598633,1.0960102081298828,,,,,,,,,
run-01,primary,31033,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.080757299991092,1,1,DagobertDuckDQN,evaluation,121,121,50,50,0,121,0.0,True,survived,30,33,30,28,0,0,0,0.23484230041503906,0.5185604095458984,1.4357566833496094,,,,,,,,,
run-01,primary,31034,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.010051900011604,1,1,DagobertDuckDQN,evaluation,117,117,50,50,0,117,0.0,True,survived,20,32,34,31,0,0,0,0.2219676971435547,0.4467964172363277,1.0020732879638672,,,,,,,,,
run-01,primary,31035,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.078694099996937,1,1,DagobertDuckDQN,evaluation,143,143,50,50,0,143,0.0,True,survived,35,43,35,30,0,0,0,0.2186298370361328,0.4673242568969727,1.4202594757080078,,,,,,,,,
run-01,primary,31036,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.968713199996273,1,1,DagobertDuckDQN,evaluation,139,139,50,50,0,139,0.0,True,survived,32,37,37,33,0,0,0,0.23245811462402344,0.5324840545654294,1.0807514190673828,,,,,,,,,
run-01,primary,31037,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.030535300000338,1,1,DagobertDuckDQN,evaluation,143,143,50,50,0,143,0.0,True,survived,39,38,27,38,1,0,0,0.22482872009277344,0.4645586013793946,1.1928081512451172,,,,,,,,,
run-01,primary,31038,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.988838199991733,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,40,39,26,26,0,0,0,0.21791458129882812,0.5562305450439453,0.9815692901611328,,,,,,,,,
run-01,primary,31039,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.4111150999960955,1,1,DagobertDuckDQN,evaluation,129,129,50,50,0,129,0.0,True,survived,25,39,39,26,0,0,0,0.2536773681640625,0.456714630126953,1.148223876953125,,,,,,,,,
run-01,primary,31040,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.030778700005612,1,1,DagobertDuckDQN,evaluation,136,136,50,50,0,136,0.0,True,survived,30,31,42,33,0,0,0,0.225067138671875,0.5450248718261719,1.3191699981689453,,,,,,,,,
run-01,repeat,31001,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.0678031999996165,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,37,34,24,36,0,0,0,0.22840499877929688,0.47028064727783203,1.931905746459961,,,,,,,,,
run-01,repeat,31002,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.036848299991107,1,1,DagobertDuckDQN,evaluation,137,137,50,50,0,137,0.0,True,survived,34,28,34,41,0,0,0,0.21791458129882812,0.4604816436767577,2.045154571533203,,,,,,,,,
run-01,repeat,31003,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.483866199996555,1,1,DagobertDuckDQN,evaluation,133,133,50,50,0,133,0.0,True,survived,29,30,43,30,1,0,0,0.2627372741699219,0.45857429504394503,1.1453628540039062,,,,,,,,,
run-01,repeat,31004,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.73061620000226,1,1,DagobertDuckDQN,evaluation,129,129,50,50,0,129,0.0,True,survived,27,32,25,44,1,0,0,0.22077560424804688,0.5188941955566405,0.9646415710449219,,,,,,,,,
run-01,repeat,31005,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.299692999993567,1,1,DagobertDuckDQN,evaluation,128,128,50,50,0,128,0.0,True,survived,30,34,20,44,0,0,0,0.3973245620727539,0.7650732994079589,1.367807388305664,,,,,,,,,
run-01,repeat,31006,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.218521899994812,1,1,DagobertDuckDQN,evaluation,126,126,50,50,0,126,0.0,True,survived,30,26,30,40,0,0,0,0.2263784408569336,0.5370974540710449,1.642465591430664,,,,,,,,,
run-01,repeat,31007,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.041390900005354,1,1,DagobertDuckDQN,evaluation,113,113,50,50,0,113,0.0,True,survived,34,29,29,21,0,0,0,0.21719932556152344,0.5198001861572263,1.9159317016601562,,,,,,,,,
run-01,repeat,31008,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.565111900010379,1,1,DagobertDuckDQN,evaluation,127,127,50,50,0,127,0.0,True,survived,32,32,40,23,0,0,0,0.2777576446533203,0.6197214126586912,1.4672279357910156,,,,,,,,,
run-01,repeat,31009,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.607607600002666,1,1,DagobertDuckDQN,evaluation,122,122,50,50,0,122,0.0,True,survived,27,34,35,26,0,0,0,0.22399425506591797,0.4178404808044432,0.9531974792480469,,,,,,,,,
run-01,repeat,31010,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.155449700003373,1,1,DagobertDuckDQN,evaluation,140,140,50,50,0,140,0.0,True,survived,34,33,34,38,1,0,0,0.21982192993164062,0.5401730537414542,1.1217594146728516,,,,,,,,,
run-01,repeat,31011,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.199754100001883,1,1,DagobertDuckDQN,evaluation,133,133,50,50,0,133,0.0,True,survived,23,36,25,48,1,0,0,0.2384185791015625,0.5250453948974607,1.2028217315673828,,,,,,,,,
run-01,repeat,31012,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.053446499994607,1,1,DagobertDuckDQN,evaluation,139,139,50,50,0,139,0.0,True,survived,33,38,44,24,0,0,0,0.21648406982421875,0.5409955978393554,1.5540122985839844,,,,,,,,,
run-01,repeat,31013,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.325399499997729,1,1,DagobertDuckDQN,evaluation,133,133,50,50,0,133,0.0,True,survived,34,37,33,29,0,0,0,0.23174285888671875,0.5009174346923823,1.384735107421875,,,,,,,,,
run-01,repeat,31014,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.110107000000426,1,1,DagobertDuckDQN,evaluation,156,156,50,50,0,156,0.0,True,survived,39,32,39,46,0,0,0,0.22733211517333984,0.44041872024536133,2.019166946411133,,,,,,,,,
run-01,repeat,31015,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.393905800010543,1,1,DagobertDuckDQN,evaluation,113,113,50,50,0,113,0.0,True,survived,29,34,29,20,1,0,0,0.2193450927734375,0.49219131469726557,3.589630126953125,,,,,,,,,
run-01,repeat,31016,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.078165400002035,1,1,DagobertDuckDQN,evaluation,134,134,50,50,0,134,0.0,True,survived,38,29,27,39,1,0,0,0.22161006927490234,0.518190860748291,1.1470317840576172,,,,,,,,,
run-01,repeat,31017,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.128138200001558,1,1,DagobertDuckDQN,evaluation,139,139,50,50,0,139,0.0,True,survived,35,28,35,41,0,0,0,0.2219676971435547,0.4189014434814453,0.9298324584960938,,,,,,,,,
