replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,survived,first_place,tied_first,placement,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
r5,loot-crate,228505,328505,0.0,0,0,0,True,,,,0,0.23794174194335938,0.5002021789550781,c3e3eff9384f03273737e526e59930deeacf532ba9c37d90513fe83ee7d805fd,True
r5,loot-crate,228506,328506,0.04,0,0,2,True,,,,0,0.3259658813476562,0.5829334259033203,b6695c496558133330ce2d90e60962600fde40aec0adb0fbe7712ad262dc5a2f,True
r5,loot-crate,228507,328507,0.06,0,0,3,True,,,,47,0.2811789512634277,0.47206878662109375,a97ac5b0dfd2aea683b143c432f0cc09f55c4d7ed4025543f56da4a1d4248677,True
r5,loot-crate,228508,328508,0.0,0,0,0,True,,,,0,0.26115179061889643,0.45013427734375,c3e3eff9384f03273737e526e59930deeacf532ba9c37d90513fe83ee7d805fd,True
r5,loot-crate,228509,328509,0.12,0,0,6,True,,,,5,0.2722263336181639,0.5102157592773438,8fe3c44481b6a1aa757399faf4693bf109bc6528811edaf039c86ce89b59008e,True
r5,loot-crate,228510,328510,0.16,0,0,8,True,,,,68,0.3359794616699218,0.6196498870849609,609c3ca6f10e85fba3dbe82ea765ac19cc44a44fe9935e5ebc80a267ef57fac7,True
r5,loot-crate,228511,328511,0.34,0,0,17,True,,,,5,0.2709507942199706,0.5180835723876953,48a6efc8bfa7831efb98577e9422e9608ad6d69c581bebf9e487dc0aad9889cd,True
r5,loot-crate,228512,328512,0.64,0,0,32,True,,,,22,0.6904125213623017,1.0139942169189453,3107ce029bb57a4b3a5dd9f9f506d0b3059a286c31fc483a28956595924ba405,True
r5,loot-crate,228513,328513,0.1,0,0,5,True,,,,3,0.5551457405090331,0.8349418640136719,418945df4f0216b4fb37b23648c635ef2051f2b258391863e951bf1d1b103484,True
r5,loot-crate,228514,328514,0.1,0,1,5,False,,,,4,0.3202199935913086,0.5388259887695312,770e414b0e03f563058febe556a05fdba642f4a9d359020151e33d758edba291,True
r5,loot-crate,228515,328515,0.0,0,0,0,True,,,,0,0.2639293670654297,0.5388259887695312,c3e3eff9384f03273737e526e59930deeacf532ba9c37d90513fe83ee7d805fd,True
r5,loot-crate,228516,328516,0.06,0,1,3,False,,,,1,0.5707740783691405,0.6489753723144531,b74c7102f60899dd5cd810850d0b852e41b979d77ac89832619b9ac1da471520,True
r5,loot-crate,228517,328517,0.02,0,0,1,True,,,,1,0.24133920669555636,0.5090236663818359,d09a11f7ca79acce9929acdd3c609c953189540921df020a1c3e9d9b289ccb39,True
r5,loot-crate,228518,328518,0.42,0,0,21,True,,,,7,0.44275522232055664,0.6380081176757812,14dc4b376cf4f0f2a3071be6789c11996ba669a2e39b1080c117dd6dc98e6d40,True
r5,loot-crate,228519,328519,0.12,0,0,6,True,,,,23,0.2449989318847655,0.5021095275878906,2716f4bd21a0df96a12a01f1e0c9fe149bd5e81e4ca0fbb10a0d9b4038cf26d9,True
r5,loot-crate,228520,328520,0.06,0,1,3,False,,,,1,0.2512812614440918,0.4620552062988281,8253b35cae44fa81b121bd6af666cfba717c6b89a63c07f182fb06cfdbf816fe,True
