schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,opponents_eliminated,opponent_count,score_margin,first_place,tied_first,arm,replica,suite,world_seed,agent_seed,artifact_sha256
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,3,3,9,3,36,19,,0,0,400,0.0,True,step_limit,27f38dd8a5a01ffefe0b1f78d1fe46a6d876fb346062d22ffa8d64895c5da819,28,15,41,19,278,19,0,1.349806785583496,4.1766762733459455,7.230043411254883,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-primary,1501128,2501128,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,0,0,9,0,0,0,,0,400,400,1.0,True,step_limit,cbb260f28f1c90a10517ad6fc9ef9c48acf2645d8c9f847afd75ec85e6556e51,400,0,0,0,0,0,0,1.5739202499389648,1.659691333770752,2.1321773529052734,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-primary,1501129,2501129,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,67,3,3,9,4,23,9,,1,7,67,0.1044776119402985,False,killed,2192a83b9924aa534657764532551e62e605e83b634fa14e0574ce2b761e6914,11,7,13,12,11,13,0,1.2576580047607422,3.04567813873291,3.7386417388916016,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-primary,1501130,2501130,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,160,3,3,9,4,58,23,,1,6,160,0.0375,False,killed,dc3d71f6adc1e5fe5c7c5a2f5001d007ed798bbbe7b8b2ea878fd79962799e31,26,17,33,24,36,24,0,2.2592544555664062,5.411362648010239,9.183168411254883,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-primary,1501131,2501131,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,10,5,9,5,89,54,,0,5,400,0.0125,True,step_limit,31524b76efb6839c50a75b3c6de69069a2241a00f3568ba0225ea4014a183e7a,77,57,64,61,86,55,0,3.116607666015625,8.719265460968018,10.221242904663086,,,,,,,,,,,,,,,,1,1,10.0,1,0,reference,frozen,classic-peaceful-primary,1501132,2501132,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,5,5,9,5,77,55,,0,8,400,0.02,True,step_limit,1333052975a1a0098993105a1da4bb183df191815f135048a334a77b940a7a68,76,55,69,53,86,61,0,3.73232364654541,8.29658508300781,11.044979095458984,,,,,,,,,,,,,,,,0,1,5.0,1,0,reference,frozen,classic-peaceful-primary,1501133,2501133,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,41,1,1,9,2,10,6,,1,5,41,0.12195121951219512,False,killed,4dbaa8c64a1c71ce5430131797a04b80b76120784f81be11f133d55a76312777,6,6,4,8,9,8,0,1.4088153839111328,3.5827159881591797,3.7355422973632812,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-primary,1501134,2501134,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,0,0,9,0,11,57,,0,27,400,0.0675,True,step_limit,a1539136fce2346d38c55e07be59da9ba8dad60174aca6f47889a20f47bfcf67,57,56,57,58,88,84,0,1.7298460006713867,2.871429920196533,3.042459487915039,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-primary,1501135,2501135,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,4,4,9,4,80,54,,0,9,400,0.0225,True,step_limit,67c5e525355cfdc871be4248215cbb392116da51f461faa3d6a679f973e174e6,63,57,71,56,92,61,0,3.4323930740356445,8.271837234497061,11.582136154174805,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-primary,1501136,2501136,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,4,4,9,5,52,26,,0,210,400,0.525,True,step_limit,557681b79a9d19b14180ecb403684566184091af8fce775f9e82e28958823c20,27,38,30,240,34,31,0,4.93621826171875,5.620718002319336,9.292125701904297,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-primary,1501137,2501137,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
