schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,opponents_eliminated,opponent_count,score_margin,first_place,tied_first,arm,replica,suite,world_seed,agent_seed,artifact_sha256
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,3,3,9,3,25,52,,0,0,400,0.0,True,step_limit,bc3cfafc7167167e0be586357596182fbf84134dfe84b16ecdd2a4395633a1c5,83,55,81,55,74,52,0,4.822015762329102,11.300194263458252,18.637418746948242,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-repeat,1631116,2631116,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,2,2,9,2,22,11,,0,2,400,0.005,True,step_limit,5114932a4421a208fce39c62cc9113a5abf168cd35844f517d09202863ecb4a7,17,17,14,9,332,11,0,2.3986101150512695,4.516816139221183,9.796619415283203,,,,,,,,,,,,,,,,0,1,2.0,1,0,reference,frozen,classic-peaceful-repeat,1631117,2631117,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,0,0,9,0,17,42,,0,1,400,0.0025,True,step_limit,35b3d84b3696067515c6d9439824988d269b8df520f6b574a0ecb82b536dcef4,78,78,76,76,50,42,0,4.7293901443481445,8.778667449951172,13.784170150756836,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-repeat,1631118,2631118,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,2,2,9,2,18,6,,0,2,400,0.005,True,step_limit,5c4987e252653ff81f13bf23470c88f0c433715a7104e1af99d0304247366f16,10,4,8,7,365,6,0,3.6830902099609375,5.690109729766844,10.771036148071289,,,,,,,,,,,,,,,,0,1,2.0,1,0,reference,frozen,classic-peaceful-repeat,1631119,2631119,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,10,5,9,5,74,54,,0,7,400,0.0175,True,step_limit,e4fa91f20b1ef201b95cfed0b273644ae3427565215cdbb78ad95a877b28e5ed,77,55,68,64,80,56,0,6.595492362976074,17.668116092681885,27.002811431884766,,,,,,,,,,,,,,,,1,1,10.0,1,0,reference,frozen,classic-peaceful-repeat,1631120,2631120,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,2,2,9,2,44,25,,0,214,400,0.535,True,step_limit,f849dd7c4607626a9d60e87b313a6970b4145395312e0757c3b3abae72174bdf,254,27,26,27,41,25,0,4.625439643859863,8.12774896621704,16.68691635131836,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631201,2631201,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,196,196,4,4,9,5,65,26,,1,4,196,0.02040816326530612,False,killed,95a02e4bdd56d84054ed564110836c3ec67ff2ca66ec340a4f396ebe190fc916,26,32,39,28,43,28,0,4.908919334411621,14.222264289855957,26.01003646850586,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631202,2631202,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,2,2,9,2,30,44,,0,1,400,0.0025,True,step_limit,547ed3eb2176f80fe0263138101a2f17b359cb0927c664be664faf08552d0292,79,73,78,71,54,45,0,5.3757429122924805,12.048685550689695,17.926454544067383,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631203,2631203,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,1,1,9,2,9,4,,0,370,400,0.925,True,step_limit,1f2a910a6cb3d3b93031c661965a537fe288e4d43df8964d2212a62723c4c497,372,9,4,4,7,4,0,3.1785964965820312,4.971957206726073,5.950689315795898,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631204,2631204,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,109,109,0,0,9,1,30,15,,1,2,109,0.01834862385321101,False,killed,fa3fe852f65db302491ff32a9e210d3778cf2edf57cca38e70185ac7a2864f8a,21,11,17,18,26,16,0,3.795623779296875,10.50758361816406,19.245147705078125,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631205,2631205,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,3,3,9,3,34,13,,0,1,400,0.0025,True,step_limit,c1df283b3b78fc317c2ef6f28ea2eb59a462681bf839be9cb6b93642e6691399,7,13,18,13,335,14,0,2.5676488876342773,4.831528663635252,11.340618133544922,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631206,2631206,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,106,106,1,1,9,2,38,15,,1,1,106,0.009433962264150943,False,killed,97ac282685b25219c334efb89c71ea7296f935a6f8571903128bcce10ac7e912,10,14,24,15,28,15,0,2.8661489486694336,7.022500038146973,15.056848526000977,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631207,2631207,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,8,8,9,8,91,52,,0,5,400,0.0125,True,step_limit,a92e0efdf7e618655a8ff996e407ca334fd769d6f98a80060822249670cde0a4,84,64,69,58,71,54,0,5.586147308349609,15.856683254241936,24.26886558532715,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631208,2631208,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,70,70,2,2,9,3,30,10,,1,3,70,0.04285714285714286,False,killed,6b8cb0603bb99ba941c463d9d22dfb3ca9eb2dc0bb3de3feee956444c644402f,10,7,15,14,14,10,0,2.5131702423095703,9.323680400848387,10.502099990844727,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631209,2631209,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,1,1,9,1,27,54,,0,2,400,0.005,True,step_limit,63d848b9d3525cc82171bd796b446a103772cc25ab72b644d0a0474dce721676,76,55,79,53,82,55,0,4.893898963928223,12.1010422706604,18.293380737304688,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631210,2631210,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,7,7,9,8,109,55,,0,12,400,0.03,True,step_limit,929a317db174718254f3e5db645a80fb9b00d5b3fabb0f8c216156d332decdf5,70,53,68,67,82,60,0,4.869699478149414,14.913725852966301,27.0383358001709,,,,,,,,,,,,,,,,0,0,,,,reference,frozen,classic-retention-primary,1631211,2631211,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
